SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,HOU,Houston Rockets,82,82,61.0,25.2,51.9,48.5,56.2,35.3,17.1,30.0,57.0,25.7,8.1,21.9,36.7
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,62.3,24.2,51.8,46.8,54.8,34.8,15.9,28.9,55.0,27.5,8.3,22.9,36.3
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,58.4,24.5,51.3,47.7,55.8,32.9,16.2,28.9,56.0,25.5,8.3,22.4,37.1
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,59.3,24.8,50.5,49.2,57.0,34.8,16.9,29.6,57.2,24.5,7.9,20.9,37.8
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,58.3,23.0,49.5,46.4,54.2,32.8,15.3,27.9,54.7,25.4,7.7,21.6,35.6
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,57.5,24.3,49.2,49.3,56.4,34.6,17.3,29.6,58.4,22.9,7.0,19.6,35.5
2015-16,Regular+Season,ORL,Orlando Magic,81,81,58.0,23.2,48.4,47.9,56.0,32.6,15.4,27.2,56.8,25.4,7.8,21.2,36.6
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,55.2,21.3,47.5,44.8,52.0,32.3,14.5,27.8,52.2,22.9,6.8,19.7,34.5
2015-16,Regular+Season,IND,Indiana Pacers,82,82,55.9,21.7,47.4,45.8,53.0,31.9,14.8,27.1,54.8,24.0,6.9,20.4,33.8
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,55.7,21.9,47.2,46.4,54.5,30.5,14.4,25.9,55.6,25.2,7.6,21.4,35.4
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,52.7,22.1,47.2,46.8,53.8,32.3,15.5,28.9,53.7,20.5,6.6,18.3,35.9
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,55.5,23.4,47.0,49.8,57.4,31.9,16.3,27.1,60.2,23.5,7.1,19.9,35.7
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,55.8,22.5,47.0,47.9,56.3,31.4,14.6,26.5,55.1,24.4,7.9,20.5,38.6
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,53.2,21.8,46.7,46.7,53.6,31.9,15.3,28.0,54.7,21.3,6.5,18.7,34.6
2015-16,Regular+Season,LAC,LA Clippers,82,82,54.5,21.3,46.2,46.1,52.9,33.3,15.0,28.2,53.3,21.3,6.3,18.0,34.8
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,53.9,22.8,46.1,49.5,56.7,33.8,16.2,28.9,55.9,20.1,6.6,17.2,38.6
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,55.0,22.7,46.1,49.3,57.5,31.6,15.1,26.5,57.0,23.3,7.6,19.6,38.8
2015-16,Regular+Season,BOS,Boston Celtics,81,81,54.0,21.1,46.0,45.8,52.9,31.7,14.5,26.9,53.7,22.4,6.6,19.0,34.5
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,57.9,21.4,45.6,47.0,55.6,31.7,13.7,25.0,54.6,26.2,7.8,20.6,37.8
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,53.9,21.5,45.6,47.2,54.9,32.2,14.5,27.2,53.3,21.7,7.0,18.3,38.3
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,55.6,21.4,45.5,47.0,55.3,31.9,13.8,26.1,52.8,23.7,7.6,19.4,39.1
2015-16,Regular+Season,WAS,Washington Wizards,82,82,54.3,21.9,45.5,48.0,55.9,31.6,14.7,26.5,55.5,22.7,7.2,19.0,37.7
2015-16,Regular+Season,NYK,New York Knicks,82,82,52.7,20.9,45.2,46.2,52.9,32.2,14.8,27.6,53.6,20.5,6.0,17.6,34.4
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,53.7,21.9,45.0,48.6,57.0,30.2,14.3,25.4,56.5,23.4,7.5,19.6,38.3
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,50.2,21.1,44.8,47.0,53.6,31.1,15.2,27.8,54.4,19.0,5.9,17.0,34.7
2015-16,Regular+Season,MIA,Miami Heat,82,82,52.7,20.7,44.4,46.7,53.6,32.7,14.6,27.6,53.0,19.9,6.1,16.8,36.4
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,53.4,20.7,43.8,47.1,54.4,31.6,14.3,25.9,55.2,21.8,6.4,17.9,35.5
2015-16,Regular+Season,UTA,Utah Jazz,82,82,53.7,20.2,42.9,47.0,54.6,31.7,13.6,25.3,53.8,22.0,6.6,17.6,37.3
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,52.4,19.2,42.9,44.7,50.8,33.0,13.8,27.0,51.2,19.4,5.3,15.9,33.4
2015-16,Regular+Season,DET,Detroit Pistons,82,82,50.3,20.1,42.4,47.6,54.5,31.3,14.2,26.3,54.0,19.0,5.9,16.0,37.0
2016-17,Regular+Season,CHA,Charlotte Hornets,82,82,57.7,23.1,49.9,46.3,56.1,27.0,13.3,23.4,56.8,30.7,9.8,26.6,37.1
2016-17,Regular+Season,IND,Indiana Pacers,81,81,58.9,23.1,49.6,46.7,55.8,29.5,14.1,24.8,56.7,29.4,9.1,24.8,36.6
2016-17,Regular+Season,ATL,Atlanta Hawks,82,82,56.8,22.4,49.5,45.2,54.1,28.3,13.6,24.7,55.2,28.5,8.8,24.9,35.4
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,82,59.7,23.1,49.4,46.7,55.2,31.3,14.7,25.9,56.5,28.4,8.4,23.5,35.9
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,82,55.4,22.9,49.3,46.4,55.1,28.6,14.3,25.4,56.4,26.8,8.6,23.9,35.8
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,82,57.2,24.7,49.2,50.2,58.8,31.9,16.3,27.4,59.3,25.4,8.4,21.8,38.7
2016-17,Regular+Season,SAC,Sacramento Kings,82,82,59.1,24.0,49.1,48.9,58.1,30.5,14.9,25.3,59.0,28.6,9.1,23.8,38.1
2016-17,Regular+Season,BKN,Brooklyn Nets,81,81,53.7,23.5,48.8,48.2,56.3,30.1,15.6,27.3,57.2,23.7,7.9,21.5,36.8
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,82,54.9,23.0,48.7,47.2,55.7,29.4,14.7,26.1,56.3,25.4,8.3,22.6,36.7
2016-17,Regular+Season,HOU,Houston Rockets,82,82,54.9,23.6,48.7,48.4,56.7,29.3,15.5,26.0,59.7,25.6,8.1,22.7,35.5
2016-17,Regular+Season,NYK,New York Knicks,82,82,55.5,22.6,48.4,46.6,54.9,29.7,14.6,26.0,56.1,25.7,8.0,22.5,35.6
2016-17,Regular+Season,GSW,Golden State Warriors,82,82,54.1,22.1,48.2,45.7,53.1,30.4,14.9,27.1,55.0,23.6,7.1,21.1,33.8
2016-17,Regular+Season,ORL,Orlando Magic,82,82,55.7,23.3,48.0,48.5,57.0,31.0,15.2,26.7,56.8,24.7,8.1,21.3,38.1
2016-17,Regular+Season,CHI,Chicago Bulls,82,82,55.3,22.7,47.9,47.5,55.3,31.0,15.3,26.9,57.0,24.3,7.4,21.0,35.4
2016-17,Regular+Season,TOR,Toronto Raptors,81,81,57.2,21.9,47.3,46.3,54.9,30.0,13.8,24.8,55.7,27.2,8.1,22.5,35.9
2016-17,Regular+Season,BOS,Boston Celtics,82,82,54.9,22.0,47.1,46.8,54.5,29.7,14.7,25.5,57.9,25.2,7.3,21.6,33.7
2016-17,Regular+Season,PHX,Phoenix Suns,80,80,54.2,23.0,46.8,49.3,57.8,30.8,15.1,26.5,56.9,23.5,7.9,20.2,39.2
2016-17,Regular+Season,WAS,Washington Wizards,82,82,54.7,22.6,46.5,48.6,57.3,29.5,14.5,25.1,57.9,25.2,8.1,21.4,37.7
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,82,55.8,23.1,46.5,49.8,58.8,29.3,14.7,24.4,60.4,26.4,8.4,22.0,38.0
2016-17,Regular+Season,LAC,LA Clippers,82,82,54.3,22.5,46.4,48.5,56.5,30.2,15.1,25.8,58.4,24.1,7.4,20.6,36.0
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,82,53.9,21.9,46.3,47.4,55.3,30.0,14.6,25.8,56.6,23.9,7.3,20.5,35.8
2016-17,Regular+Season,DET,Detroit Pistons,82,82,55.5,21.5,46.2,46.6,55.1,30.3,13.7,25.2,54.2,25.2,7.8,21.0,37.4
2016-17,Regular+Season,DEN,Denver Nuggets,81,81,51.4,22.3,45.4,49.2,57.7,28.6,14.6,25.2,58.0,22.8,7.7,20.1,38.3
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,82,52.6,21.9,44.8,49.0,57.2,29.0,14.6,24.7,59.0,23.5,7.3,20.0,36.7
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,82,56.6,20.5,44.6,45.9,55.0,28.4,12.4,22.4,55.4,28.2,8.1,22.2,36.3
2016-17,Regular+Season,SAS,San Antonio Spurs,81,81,52.4,20.5,43.7,46.8,54.5,30.1,13.8,25.1,54.9,22.2,6.7,18.5,35.9
2016-17,Regular+Season,POR,Portland Trail Blazers,82,82,50.3,20.3,43.4,46.8,55.2,27.9,13.1,24.1,54.3,22.4,7.2,19.3,37.5
2016-17,Regular+Season,MIA,Miami Heat,82,82,50.9,20.2,42.8,47.1,54.5,29.7,13.9,25.0,55.5,21.2,6.3,17.8,35.4
2016-17,Regular+Season,DAL,Dallas Mavericks,81,81,53.5,20.7,42.2,49.0,58.2,28.4,13.0,22.4,57.9,25.1,7.7,19.8,38.9
2016-17,Regular+Season,UTA,Utah Jazz,82,82,48.0,18.1,39.3,46.2,54.1,27.1,11.9,22.2,53.7,20.8,6.2,17.1,36.4
2016-17,Playoffs,CHI,Chicago Bulls,6,6,65.5,25.0,55.0,45.5,56.2,27.4,13.2,23.0,57.2,38.1,11.8,32.0,37.0
2016-17,Playoffs,POR,Portland Trail Blazers,4,4,56.4,25.0,49.3,50.8,59.4,31.8,16.5,27.8,59.5,24.6,8.5,21.5,39.5
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,18,54.9,22.5,48.3,46.6,55.1,28.2,14.2,24.8,57.4,26.8,8.3,23.6,35.1
2016-17,Playoffs,WAS,Washington Wizards,13,13,55.3,22.3,46.2,48.3,57.2,28.0,14.1,23.4,60.2,27.3,8.2,22.9,36.0
2016-17,Playoffs,ATL,Atlanta Hawks,6,6,53.3,19.2,46.2,41.5,48.0,29.4,13.2,25.5,51.6,23.8,6.0,20.7,29.0
2016-17,Playoffs,HOU,Houston Rockets,11,11,50.3,22.2,45.0,49.3,56.3,27.8,15.9,24.9,63.9,22.5,6.3,20.1,31.2
2016-17,Playoffs,BOS,Boston Celtics,18,18,52.2,21.4,43.7,49.0,57.7,27.1,13.9,22.7,61.1,25.0,7.6,21.0,36.0
2016-17,Playoffs,GSW,Golden State Warriors,17,17,48.5,20.1,43.2,46.4,54.9,25.4,12.7,22.6,56.1,23.1,7.3,20.6,35.7
2016-17,Playoffs,SAS,San Antonio Spurs,16,16,50.8,19.7,41.9,47.0,58.3,23.5,10.3,19.4,52.9,27.3,9.4,22.5,41.9
2016-17,Playoffs,UTA,Utah Jazz,11,11,50.5,20.8,40.1,51.9,60.4,28.0,14.0,22.3,62.9,22.4,6.8,17.8,38.3
2016-17,Playoffs,TOR,Toronto Raptors,10,10,50.4,19.8,39.7,49.9,61.7,25.2,10.4,19.8,52.5,25.3,9.4,19.9,47.2
2016-17,Playoffs,LAC,LA Clippers,7,7,52.1,21.0,39.4,53.3,63.6,27.7,12.9,21.0,61.2,24.3,8.1,18.4,44.2
2016-17,Playoffs,MIL,Milwaukee Bucks,6,6,51.0,16.3,37.7,43.4,52.9,25.7,9.2,19.0,48.2,25.3,7.2,18.7,38.4
2016-17,Playoffs,MEM,Memphis Grizzlies,6,6,48.6,17.0,37.5,45.3,57.1,22.0,8.2,17.0,48.0,26.6,8.8,20.5,43.1
2016-17,Playoffs,IND,Indiana Pacers,4,4,44.4,19.0,36.8,51.7,64.6,19.3,9.5,16.0,59.4,25.1,9.5,20.8,45.8
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,5,41.5,16.8,34.8,48.3,56.0,18.6,11.4,15.6,73.1,22.9,5.4,19.2,28.1
2017-18,Regular+Season,ATL,Atlanta Hawks,81,81,59.1,24.3,51.2,47.4,56.9,29.5,14.5,25.5,57.0,29.6,9.7,25.6,37.9
2017-18,Regular+Season,DET,Detroit Pistons,82,82,58.8,23.7,50.0,47.3,57.1,28.3,13.9,24.0,58.1,30.6,9.7,26.0,37.4
2017-18,Regular+Season,OKC,Oklahoma City Thunder,80,80,58.5,23.6,49.3,48.0,57.4,29.1,14.4,24.5,59.0,29.4,9.2,24.8,37.2
2017-18,Regular+Season,NOP,New Orleans Pelicans,82,82,53.8,22.9,49.2,46.4,55.3,27.6,14.2,25.3,56.0,26.1,8.7,23.9,36.3
2017-18,Regular+Season,CHA,Charlotte Hornets,82,82,55.8,23.3,49.0,47.6,57.1,28.3,14.0,24.8,56.4,27.5,9.3,24.2,38.6
2017-18,Regular+Season,LAC,LA Clippers,81,81,55.9,23.8,49.0,48.7,57.4,29.2,15.3,25.6,59.8,26.7,8.5,23.4,36.5
2017-18,Regular+Season,NYK,New York Knicks,81,81,56.7,23.5,48.8,48.2,57.7,28.4,14.3,24.4,58.7,28.4,9.2,24.4,37.7
2017-18,Regular+Season,CLE,Cleveland Cavaliers,82,82,55.0,23.6,48.5,48.7,58.2,27.1,14.4,23.9,60.0,27.8,9.2,24.6,37.6
2017-18,Regular+Season,CHI,Chicago Bulls,81,81,55.6,23.4,48.3,48.4,58.7,25.3,13.3,22.0,60.6,30.3,10.0,26.3,38.1
2017-18,Regular+Season,ORL,Orlando Magic,82,82,55.1,23.3,47.8,48.6,57.1,29.5,15.2,25.6,59.1,25.6,8.1,22.2,36.5
2017-18,Regular+Season,MIN,Minnesota Timberwolves,82,82,55.8,23.4,47.2,49.5,59.0,27.7,14.4,23.5,61.5,28.1,9.0,23.7,37.8
2017-18,Regular+Season,PHX,Phoenix Suns,82,82,53.0,23.0,47.0,48.9,58.1,27.4,14.3,24.3,58.7,25.6,8.7,22.7,38.4
2017-18,Regular+Season,IND,Indiana Pacers,82,82,55.5,23.1,46.9,49.1,58.7,26.6,14.1,22.5,62.8,28.9,8.9,24.4,36.6
2017-18,Regular+Season,DEN,Denver Nuggets,81,81,53.9,22.7,46.7,48.7,58.0,27.8,14.0,24.1,58.0,26.1,8.7,22.6,38.6
2017-18,Regular+Season,GSW,Golden State Warriors,82,82,51.7,22.0,46.4,47.5,56.0,27.8,14.2,24.9,57.1,24.0,7.8,21.5,36.5
2017-18,Regular+Season,MIL,Milwaukee Bucks,81,81,55.3,22.7,46.1,49.3,58.3,29.3,14.4,24.4,59.1,26.0,8.3,21.7,38.3
2017-18,Regular+Season,LAL,Los Angeles Lakers,81,81,51.0,21.8,45.9,47.5,56.2,25.9,13.8,23.3,59.4,25.2,8.0,22.6,35.3
2017-18,Regular+Season,SAC,Sacramento Kings,82,82,56.0,22.3,45.9,48.5,58.9,25.9,12.7,21.3,59.5,30.0,9.6,24.6,39.0
2017-18,Regular+Season,PHI,Philadelphia 76ers,81,81,52.0,20.5,45.6,45.0,53.6,26.3,12.6,23.0,54.6,25.7,7.9,22.6,35.1
2017-18,Regular+Season,WAS,Washington Wizards,82,82,53.6,21.5,44.9,47.9,56.8,27.0,13.6,22.6,60.2,26.6,7.9,22.3,35.6
2017-18,Regular+Season,DAL,Dallas Mavericks,82,82,52.8,21.4,44.2,48.5,58.2,25.6,12.9,21.4,60.0,27.2,8.6,22.7,37.6
2017-18,Regular+Season,TOR,Toronto Raptors,82,82,51.5,20.7,43.9,47.0,55.0,29.1,13.7,24.8,55.0,22.4,7.0,19.1,36.6
2017-18,Regular+Season,BOS,Boston Celtics,79,79,51.1,19.8,43.5,45.5,54.0,25.9,12.4,22.1,56.2,25.1,7.4,21.4,34.5
2017-18,Regular+Season,SAS,San Antonio Spurs,82,82,51.4,20.2,43.3,46.7,55.1,27.4,13.0,23.0,56.5,24.0,7.2,20.2,35.6
2017-18,Regular+Season,MEM,Memphis Grizzlies,82,82,54.0,20.9,43.3,48.4,58.3,25.8,12.4,20.7,59.7,28.2,8.6,22.6,37.9
