SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2016-17,Regular+Season,TOR,Toronto Raptors,82,25.9,24.2,0.95,24.5,9.2,19.9,46.1,48.9,13.2,12.2,12.3,2.5,45.9,96.6
2016-17,Regular+Season,PHX,Phoenix Suns,82,26.0,22.6,0.84,21.9,8.3,20.1,41.2,43.3,10.4,13.8,9.2,1.8,40.5,51.7
2016-17,Regular+Season,CHA,Charlotte Hornets,82,24.3,22.9,0.88,21.3,7.9,19.2,40.9,46.1,9.6,13.0,8.7,2.0,39.9,65.5
2016-17,Regular+Season,POR,Portland Trail Blazers,82,22.3,20.4,0.95,21.1,7.7,17.7,43.4,48.0,11.0,11.4,9.9,2.2,43.0,100
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,23.4,20.9,0.83,19.5,7.2,17.8,40.2,44.7,9.7,15.9,8.9,2.2,37.8,37.9
2016-17,Regular+Season,DET,Detroit Pistons,82,22.5,20.8,0.85,19.1,8.0,18.5,43.1,45.4,7.0,12.2,6.4,1.4,40.8,55.2
2016-17,Regular+Season,UTA,Utah Jazz,82,21.0,20.5,0.91,19.1,7.0,15.8,44.6,49.2,11.3,15.5,9.9,2.4,42.3,86.2
2016-17,Regular+Season,HOU,Houston Rockets,82,20.4,18.2,0.93,19.1,5.7,13.7,41.8,48.3,15.2,19.2,14.9,1.7,41.3,93.1
2016-17,Regular+Season,LAC,LA Clippers,82,19.0,17.8,0.92,17.5,6.9,14.6,47.1,50.8,9.2,16.0,6.8,1.8,43.4,89.7
2016-17,Regular+Season,CHI,Chicago Bulls,82,20.7,18.9,0.81,16.7,6.0,15.2,39.1,40.8,13.5,15.0,12.4,2.3,39.6,24.1
2016-17,Regular+Season,WAS,Washington Wizards,82,19.7,17.9,0.85,16.7,6.6,15.1,44.0,46.5,9.6,15.7,8.3,2.0,40.9,58.6
2016-17,Regular+Season,MIA,Miami Heat,82,20.3,18.9,0.81,16.4,6.2,14.9,41.7,44.1,10.2,17.4,9.5,1.3,39.3,20.7
2016-17,Regular+Season,IND,Indiana Pacers,82,18.5,17.3,0.89,16.3,5.7,13.1,43.5,46.7,13.1,17.7,12.0,2.0,41.7,72.4
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,19.2,17.0,0.82,15.8,5.6,14.3,39.2,43.0,11.4,15.5,10.1,1.5,38.7,34.5
2016-17,Regular+Season,ATL,Atlanta Hawks,82,19.5,17.7,0.78,15.3,6.3,15.1,41.9,44.0,7.2,16.7,6.2,1.5,37.9,10.3
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,16.8,15.6,0.90,15.1,5.9,13.0,45.2,49.6,9.4,15.0,9.1,2.2,41.9,79.3
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,19.0,17.5,0.80,15.1,6.0,14.7,40.6,44.9,7.4,16.8,7.1,1.4,36.9,17.2
2016-17,Regular+Season,SAS,San Antonio Spurs,82,16.9,15.9,0.88,14.8,5.5,12.5,44.5,47.7,10.9,16.9,9.7,1.7,41.5,62.1
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,18.0,16.6,0.81,14.6,5.4,13.3,41.0,43.1,11.2,16.4,9.9,1.4,39.8,27.6
2016-17,Regular+Season,ORL,Orlando Magic,82,17.1,15.7,0.83,14.3,5.4,13.1,40.9,44.0,10.8,14.6,8.9,2.1,39.5,41.4
2016-17,Regular+Season,BOS,Boston Celtics,82,15.7,14.6,0.90,14.2,4.9,11.8,41.8,47.8,11.0,15.4,9.9,1.7,40.6,82.8
2016-17,Regular+Season,BKN,Brooklyn Nets,82,18.1,16.2,0.78,14.1,4.9,12.6,39.1,43.1,12.1,20.5,10.4,2.4,36.6,6.9
2016-17,Regular+Season,DAL,Dallas Mavericks,82,16.8,16.5,0.84,14.0,5.5,12.9,42.4,47.5,7.1,17.2,6.2,1.5,37.9,44.8
2016-17,Regular+Season,DEN,Denver Nuggets,82,16.2,14.4,0.84,13.6,5.1,12.0,42.5,46.7,9.5,18.1,7.8,1.9,38.9,48.3
2016-17,Regular+Season,NYK,New York Knicks,82,17.1,15.5,0.80,13.6,5.3,13.2,40.3,42.5,9.6,15.2,8.5,1.9,38.4,13.8
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,14.4,13.6,0.90,12.9,4.4,10.5,41.6,47.5,12.7,16.3,11.6,2.2,40.3,75.9
2016-17,Regular+Season,SAC,Sacramento Kings,82,14.3,13.5,0.81,11.7,4.5,10.6,42.7,45.6,9.4,18.2,8.4,1.6,39.0,31.0
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,14.0,13.4,0.77,10.8,4.3,10.4,41.6,43.8,8.3,19.0,7.2,1.7,37.1,3.4
2016-17,Regular+Season,GSW,Golden State Warriors,82,12.1,10.9,0.88,10.7,4.0,9.0,44.8,50.1,9.4,18.4,8.1,1.9,40.2,69.0
