SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Pre+Season,BOS,Boston Celtics,7,11.0,9.6,1.20,13.1,5.9,9.1,64.1,64.1,9.1,9.1,10.4,2.6,61.0,57.6
2015-16,Pre+Season,CHI,Chicago Bulls,7,8.0,7.0,1.36,10.7,3.9,6.1,62.8,62.8,25.5,1.8,25.5,5.5,69.1,87.9
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,7.0,6.8,1.29,9.4,3.9,5.8,67.4,67.4,19.0,6.9,19.0,5.2,65.5,72.7
2015-16,Pre+Season,DAL,Dallas Mavericks,6,8.0,7.3,1.46,11.7,5.2,6.7,77.5,77.5,12.5,4.2,12.5,0.0,77.1,97.0
2015-16,Pre+Season,GSW,Golden State Warriors,6,10.0,8.8,1.19,11.7,4.2,6.8,61.0,61.0,32.2,3.4,25.4,5.1,62.7,54.5
2015-16,Pre+Season,BKN,Brooklyn Nets,5,9.0,8.6,1.40,13.2,5.4,7.8,69.2,69.2,17.0,6.4,17.0,6.4,68.1,93.9
2015-16,Pre+Season,HOU,Houston Rockets,8,9.0,7.2,0.94,8.3,3.3,6.9,47.3,47.3,18.6,4.3,17.1,1.4,48.6,3.0
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,8.0,7.2,1.19,9.1,3.9,5.9,65.9,65.9,16.7,9.3,16.7,1.9,63.0,51.5
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7.0,6.7,1.15,7.9,3.0,4.9,61.5,61.5,25.5,7.3,21.8,3.6,60.0,42.4
2015-16,Pre+Season,MIA,Miami Heat,8,8.0,7.0,1.02,7.9,2.6,5.4,48.8,48.8,24.2,6.5,22.6,0.0,56.5,21.2
2015-16,Pre+Season,ORL,Orlando Magic,7,7.0,6.5,1.26,8.9,3.9,6.0,64.3,64.3,16.3,2.0,14.3,4.1,67.3,69.7
2015-16,Pre+Season,WAS,Washington Wizards,6,8.0,6.6,1.22,9.2,3.3,5.5,60.6,60.6,26.7,4.4,17.8,4.4,64.4,63.6
2015-16,Pre+Season,NYK,New York Knicks,6,8.0,7.6,1.10,9.2,3.7,6.7,55.0,55.0,14.0,8.0,12.0,2.0,56.0,37.5
2015-16,Pre+Season,LAC,LA Clippers,6,8.0,6.8,1.20,9.0,4.2,6.2,67.6,67.6,11.1,8.9,11.1,2.2,62.2,60.6
2015-16,Pre+Season,IND,Indiana Pacers,6,6.0,5.8,1.38,8.5,3.0,4.3,69.2,69.2,24.3,8.1,18.9,2.7,67.6,90.9
2015-16,Pre+Season,UTA,Utah Jazz,6,9.0,8.2,0.94,8.5,3.2,6.5,48.7,48.7,18.5,11.1,18.5,1.9,48.1,6.1
