SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,7.0,6.8,1.13,7.9,2.5,5.5,45.5,55.7,12.5,10.7,8.9,1.8,44.6,86.2,0
2015-16,pre-season,-,7.0,6.4,0.93,6.6,2.4,5.5,43.2,48.9,12.3,10.5,12.3,1.8,43.9,65.5,0
2015-16,pre-season,-,8.0,7.0,1.11,8.5,3.2,5.8,54.3,64.3,13.0,13.0,10.9,2.2,47.8,82.8,0
2015-16,pre-season,-,8.0,6.7,0.81,6.1,2.4,6.3,38.6,44.3,5.7,13.2,5.7,1.9,35.8,44.8,0
2015-16,pre-season,-,8.0,7.6,0.80,6.7,2.8,7.2,39.5,43.0,6.0,12.0,6.0,4.0,36.0,39.3,0
2015-16,pre-season,-,8.0,6.6,0.74,5.6,2.0,5.7,35.0,41.3,7.5,17.0,7.5,0.0,34.0,27.6,0
2015-16,pre-season,-,7.0,6.7,0.76,5.4,2.1,6.0,35.7,38.1,8.0,10.0,4.0,2.0,36.0,31.0,0
2015-16,pre-season,-,7.0,6.2,0.88,6.0,2.2,5.7,38.2,42.6,7.3,9.8,4.9,0.0,39.0,62.1,0
2015-16,pre-season,-,6.0,5.4,0.83,4.9,1.7,4.9,35.3,39.7,12.2,7.3,9.8,2.4,39.0,55.2,0
2015-16,pre-season,-,5.0,4.5,0.87,4.1,1.3,3.9,32.3,41.9,10.5,13.2,10.5,5.3,31.6,58.6,0
2015-16,pre-season,-,4.0,3.5,1.17,4.5,1.8,3.3,55.0,62.5,8.7,8.7,8.7,4.3,52.2,93.1,0
2015-16,pre-season,-,6.0,5.2,0.82,4.5,2.0,5.0,40.0,43.3,3.0,9.1,3.0,3.0,36.4,51.7,0
2015-16,pre-season,-,6.0,4.9,0.79,4.5,1.7,4.3,38.5,46.2,8.8,14.7,5.9,0.0,35.3,34.5,0
2015-16,pre-season,-,4.0,3.4,1.08,4.3,1.7,3.2,52.6,68.4,0.0,20.8,0.0,0.0,41.7,79.3,0
2015-16,pre-season,-,5.0,4.7,1.14,6.0,2.3,4.0,56.3,68.8,9.5,19.0,4.8,4.8,47.6,89.7,0
2015-16,pre-season,-,4.0,3.5,0.96,3.8,1.7,3.0,55.6,55.6,8.3,16.7,8.3,0.0,50.0,72.4,0
2015-16,pre-season,-,5.0,5.2,0.81,4.4,1.4,4.2,33.3,40.5,11.1,11.1,3.7,0.0,37.0,48.3,0
2015-16,pre-season,-,5.0,3.8,0.57,2.6,0.9,3.8,23.3,28.3,10.8,10.8,10.8,2.7,24.3,13.8,0
