SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,8.8,7.2,0.96,8.4,2.6,6.5,40.4,46.2,18.6,8.6,12.9,1.4,45.7,93.8,0
2015-16,pre-season,-,10.0,9.4,0.79,7.9,2.8,8.1,33.8,39.2,11.3,10.0,11.3,2.5,36.3,40.6,0
2015-16,pre-season,-,9.4,8.4,0.82,7.7,2.7,7.3,37.3,40.2,13.6,10.6,12.1,1.5,39.4,50.0,0
2015-16,pre-season,-,8.0,7.3,1.00,8.0,2.5,6.3,39.5,43.4,18.8,4.2,16.7,2.1,47.9,100,0
2015-16,pre-season,-,8.5,7.8,0.92,7.8,2.5,6.7,37.5,42.5,17.6,5.9,17.6,2.0,43.1,78.1,0
2015-16,pre-season,-,9.2,8.6,0.85,7.8,2.7,6.3,42.1,43.4,18.2,16.4,14.5,3.6,43.6,62.5,0
2015-16,pre-season,-,5.7,5.3,0.95,5.4,2.0,4.4,45.2,50.0,17.5,10.0,15.0,5.0,47.5,90.6,0
2015-16,pre-season,-,7.0,6.1,0.78,5.4,2.1,5.9,36.6,37.8,12.2,6.1,12.2,4.1,38.8,34.4,0
2015-16,pre-season,-,8.6,7.8,0.86,7.4,2.6,6.0,43.3,48.3,18.6,14.0,16.3,2.3,41.9,65.6,0
2015-16,pre-season,-,7.8,6.6,0.79,6.2,2.3,5.8,40.0,44.3,14.9,17.0,12.8,6.4,38.3,37.5,0
2015-16,pre-season,-,6.1,5.5,0.73,4.5,1.3,4.6,27.0,27.0,20.4,8.2,20.4,4.1,36.7,21.9,0
2015-16,pre-season,-,6.7,6.1,0.88,5.8,2.2,5.7,38.2,39.7,10.0,5.0,7.5,0.0,42.5,68.8,0
2015-16,pre-season,-,12.0,10.7,0.94,11.3,4.3,9.7,44.8,48.3,13.9,11.1,13.9,5.6,44.4,87.5,0
2015-16,pre-season,-,7.0,6.3,0.91,6.4,2.8,5.4,51.9,51.9,11.4,14.3,2.9,2.9,48.6,75.0,0
2015-16,pre-season,-,5.6,5.4,0.71,4.0,1.1,3.8,30.0,31.7,17.8,15.6,17.8,0.0,37.8,18.8,0
2015-16,pre-season,-,8.0,6.9,0.65,5.2,2.0,5.8,34.3,34.3,8.3,18.8,6.3,0.0,33.3,9.4,0
2015-16,pre-season,-,5.8,5.5,0.80,4.7,1.8,5.2,35.5,37.1,11.4,5.7,11.4,5.7,37.1,43.8,0
2015-16,pre-season,-,5.4,5.1,0.74,4.0,1.6,3.9,40.7,42.6,10.5,21.1,10.5,2.6,36.8,25.0,0
2015-16,pre-season,-,8.2,7.8,0.66,5.4,1.6,6.2,25.8,27.4,19.5,9.8,19.5,4.9,31.7,12.5,0
2015-16,pre-season,-,5.8,5.5,0.90,5.2,1.6,4.2,38.1,40.5,20.7,6.9,13.8,0.0,48.3,71.9,0
2015-16,pre-season,-,4.5,4.2,0.93,4.2,1.3,3.0,44.4,44.4,25.9,14.8,18.5,7.4,48.1,81.3,0
2015-16,pre-season,-,5.0,4.6,0.77,3.8,1.5,4.0,37.5,37.5,13.3,10.0,10.0,3.3,36.7,31.3,0
2015-16,pre-season,-,8.0,7.0,0.69,5.5,2.3,5.3,42.9,42.9,12.5,21.9,6.3,0.0,37.5,15.6,0
2015-16,pre-season,-,8.2,7.5,0.54,4.4,1.0,6.0,16.7,16.7,17.1,9.8,17.1,0.0,26.8,0.0,0
2015-16,pre-season,-,6.5,5.4,0.81,5.3,1.8,5.0,35.0,35.0,23.1,3.8,15.4,3.8,42.3,46.9,0
2015-16,pre-season,-,5.8,5.4,0.83,4.8,1.5,4.8,31.6,31.6,17.4,0.0,8.7,0.0,43.5,53.1,0
2015-16,pre-season,-,3.8,3.4,0.74,2.8,1.2,2.8,41.2,44.1,8.7,17.4,0.0,0.0,34.8,28.1,0
2015-16,pre-season,-,7.0,6.3,0.61,4.3,1.5,5.3,28.6,31.0,7.1,17.9,3.6,0.0,28.6,6.3,0
2015-16,pre-season,-,4.8,4.4,0.84,4.0,1.8,4.3,41.2,41.2,5.3,5.3,5.3,0.0,42.1,59.4,0
2015-16,pre-season,-,7.0,6.4,0.93,6.5,2.5,5.0,50.0,65.0,0.0,28.6,0.0,0.0,35.7,84.4,0
2015-16,pre-season,-,3.8,3.4,0.56,2.2,0.8,3.5,23.8,26.2,4.3,0.0,8.7,0.0,26.1,3.1,0
2015-16,pre-season,-,10.0,9.0,1.00,10.0,4.0,8.0,50.0,50.0,10.0,10.0,0.0,0.0,50.0,100,0
2015-16,pre-season,-,6.0,6.5,0.83,5.0,2.0,6.0,33.3,37.5,8.3,0.0,8.3,8.3,33.3,56.3,0
2015-16,pre-season,-,6.0,5.8,1.33,8.0,2.0,3.0,66.7,100,33.3,16.7,33.3,0.0,66.7,0.0,0
2015-16,pre-season,-,9.0,8.5,0.33,3.0,1.0,8.0,12.5,18.8,0.0,11.1,0.0,0.0,11.1,0.0,0
2015-16,pre-season,-,4.0,3.2,0.50,2.0,1.0,3.0,33.3,33.3,0.0,25.0,0.0,0.0,25.0,0.0,0
2015-16,regular-season,-,10.1,9.5,0.92,9.3,3.4,8.5,40.1,43.2,12.6,5.8,10.5,2.2,43.6,96.6,0
2015-16,regular-season,-,10.5,9.4,0.87,9.1,3.0,8.1,36.6,42.3,14.2,10.3,13.1,2.2,39.6,65.5,0
2015-16,regular-season,-,9.9,9.3,0.92,9.0,3.4,8.1,41.8,43.9,13.5,7.2,12.1,2.6,44.9,93.1,0
2015-16,regular-season,-,11.5,10.6,0.77,8.9,3.0,9.4,32.3,35.2,12.2,7.8,11.9,2.0,36.3,13.8,0
2015-16,regular-season,-,9.4,8.9,0.84,8.0,3.0,8.0,38.2,40.9,11.4,6.5,9.7,2.3,40.8,44.8,0
2015-16,regular-season,-,9.2,8.2,0.86,7.9,2.9,7.3,39.7,43.6,11.0,11.1,9.8,1.3,40.8,55.2,0
2015-16,regular-season,-,9.0,8.2,0.88,7.9,2.8,7.1,38.9,43.0,12.6,9.2,10.6,1.8,41.2,72.4,0
2015-16,regular-season,-,9.0,8.5,0.86,7.8,2.8,7.0,40.2,42.1,15.7,10.1,13.1,3.2,42.9,51.7,0
2015-16,regular-season,-,8.5,8.1,0.87,7.4,2.5,6.6,38.5,40.2,16.3,8.4,15.3,2.0,43.2,69.0,0
2015-16,regular-season,-,8.2,7.7,0.86,7.1,2.8,6.6,41.5,42.7,11.3,9.8,10.9,2.4,42.3,58.6,0
2015-16,regular-season,-,9.3,8.5,0.73,6.9,2.5,7.0,36.0,38.0,12.7,14.1,11.5,2.1,36.5,3.4,0
2015-16,regular-season,-,7.6,7.1,0.89,6.7,2.4,6.0,39.5,41.9,15.6,8.1,12.4,2.3,43.2,82.8,0
2015-16,regular-season,-,8.5,7.6,0.76,6.5,2.4,6.7,36.4,38.0,12.6,12.1,11.3,2.9,37.4,10.3,0
2015-16,regular-season,-,7.0,6.3,0.93,6.5,2.5,5.7,43.3,47.1,11.5,9.2,11.0,2.3,44.0,100,0
2015-16,regular-season,-,7.9,7.3,0.80,6.3,2.3,6.4,35.4,38.0,12.5,8.8,10.8,2.3,38.2,31.0,0
2015-16,regular-season,-,7.8,7.0,0.78,6.1,2.2,6.1,35.6,37.9,12.1,10.4,9.9,1.6,38.1,20.7,0
2015-16,regular-season,-,7.4,6.8,0.82,6.0,2.3,6.1,38.1,41.2,9.3,9.5,8.8,1.5,38.6,41.4,0
2015-16,regular-season,-,7.1,6.7,0.85,6.0,2.4,5.9,40.7,42.3,9.3,8.3,8.8,1.4,41.3,48.3,0
2015-16,regular-season,-,6.6,6.3,0.91,6.0,2.2,5.1,42.7,46.7,12.8,11.2,11.0,1.9,44.2,89.7,0
2015-16,regular-season,-,6.7,6.3,0.89,5.9,2.1,5.3,40.3,42.9,12.4,9.1,11.2,1.5,42.4,79.3,0
2015-16,regular-season,-,7.0,6.4,0.81,5.7,2.3,5.6,40.1,41.1,10.9,10.4,9.5,1.2,41.2,37.9,0
2015-16,regular-season,-,7.2,6.4,0.78,5.6,2.0,5.7,34.9,37.9,12.4,9.7,10.0,1.9,37.2,24.1,0
2015-16,regular-season,-,7.2,6.6,0.78,5.6,2.1,5.7,36.0,38.2,10.9,11.1,9.0,1.9,37.4,17.2,0
2015-16,regular-season,-,5.8,5.3,0.88,5.1,1.9,4.7,40.6,43.4,12.0,9.0,10.5,2.7,42.0,75.9,0
2015-16,regular-season,-,5.3,5.1,0.91,4.8,1.9,4.3,44.0,45.2,11.9,9.4,10.1,1.8,45.3,86.2,0
2015-16,regular-season,-,6.8,6.2,0.71,4.8,1.7,5.6,30.3,32.4,11.3,8.6,9.1,2.0,34.2,0.0,0
2015-16,regular-season,-,6.0,5.6,0.80,4.8,1.8,4.5,39.4,41.4,12.6,13.8,11.4,2.4,39.8,34.5,0
2015-16,regular-season,-,5.4,4.9,0.86,4.6,1.7,4.2,40.3,43.2,13.4,11.1,12.5,3.6,40.8,62.1,0
2015-16,regular-season,-,5.8,5.2,0.78,4.6,1.6,4.7,34.6,36.6,12.5,9.2,10.6,1.9,38.0,27.6,0
2015-16,regular-season,-,5.6,5.2,0.75,4.2,1.5,4.5,33.8,36.9,11.0,9.9,9.2,2.0,35.7,6.9,0
2015-16,playoffs,-,14.1,13.8,0.88,12.4,4.8,12.2,39.3,43.2,8.8,6.4,8.4,1.7,40.7,66.7,0
