SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Pre+Season,MIA,Miami Heat,8,6.6,6.0,0.66,4.4,1.0,1.6,61.5,65.4,26.4,49.1,1.9,0.0,37.7,97.0
2015-16,Pre+Season,GSW,Golden State Warriors,6,9.5,8.5,0.60,5.7,1.0,2.5,33.3,40.0,28.1,49.1,7.0,4.0,33.3,90.9
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,7.4,6.9,0.56,4.1,0.0,1.6,23.1,23.1,27.1,50.8,3.4,0.0,30.5,81.8
2015-16,Pre+Season,SAC,Sacramento Kings,4,12.0,10.5,0.65,7.8,1.0,1.8,42.9,42.9,35.4,50.0,10.4,0.0,39.6,93.9
2015-16,Pre+Season,IND,Indiana Pacers,6,6.5,6.1,0.74,4.8,1.0,2.3,42.9,50.0,25.6,38.5,2.6,0.0,35.9,100
2015-16,Pre+Season,CHA,Charlotte Hornets,8,6.9,6.7,0.53,3.6,1.0,1.3,50.0,50.0,25.5,56.4,3.6,0.0,32.7,75.8
2015-16,Pre+Season,ORL,Orlando Magic,7,8.6,7.9,0.48,4.1,1.0,1.7,41.7,41.7,18.3,61.7,0.0,0.0,26.7,66.7
2015-16,Pre+Season,HOU,Houston Rockets,8,7.1,5.9,0.49,3.5,1.0,1.9,33.3,40.0,19.3,54.4,5.3,0.0,26.3,69.7
2015-16,Pre+Season,PHI,Philadelphia 76ers,6,9.7,8.2,0.43,4.2,1.0,2.3,28.6,28.6,22.4,55.2,3.4,2.0,27.6,54.5
2015-16,Pre+Season,CHI,Chicago Bulls,7,7.6,6.7,0.45,3.4,1.0,1.7,33.3,37.5,18.9,58.5,0.0,0.0,24.5,60.6
2015-16,Pre+Season,POR,Portland Trail Blazers,6,7.3,6.3,0.52,3.8,1.0,1.2,57.1,64.3,20.5,65.9,4.5,2.0,27.3,72.7
2015-16,Pre+Season,DAL,Dallas Mavericks,6,8.2,7.4,0.41,3.3,0.0,0.8,20.0,20.0,26.5,63.3,4.1,0.0,26.5,51.5
2015-16,Pre+Season,LAC,LA Clippers,6,8.5,7.7,0.39,3.3,0.0,1.5,33.3,33.3,19.6,62.7,2.0,0.0,23.5,48.5
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,8.9,8.3,0.31,2.7,0.0,1.1,37.5,37.5,14.5,72.6,1.6,0.0,17.7,18.2
2015-16,Pre+Season,MIL,Milwaukee Bucks,4,7.8,6.9,0.58,4.5,1.0,1.8,57.1,64.3,22.6,58.1,3.2,3.0,29.0,84.8
2015-16,Pre+Season,BKN,Brooklyn Nets,5,8.2,7.5,0.44,3.6,0.0,1.6,25.0,25.0,22.0,58.5,0.0,0.0,26.8,57.6
2015-16,Pre+Season,MEM,Memphis Grizzlies,4,12.3,11.3,0.37,4.5,1.0,2.0,37.5,43.8,16.3,67.3,0.0,0.0,20.4,43.8
2015-16,Pre+Season,SAS,San Antonio Spurs,6,8.2,7.6,0.37,3.0,1.0,2.2,46.2,46.2,8.2,67.3,4.1,2.0,18.4,43.8
2015-16,Pre+Season,BOS,Boston Celtics,7,6.3,5.5,0.36,2.3,1.0,2.1,46.7,46.7,6.8,61.4,2.3,2.0,18.2,36.4
2015-16,Pre+Season,NYK,New York Knicks,6,8.2,7.4,0.33,2.7,1.0,1.8,36.4,45.5,8.2,69.4,0.0,0.0,14.3,27.3
2015-16,Pre+Season,UTA,Utah Jazz,6,7.3,6.7,0.34,2.5,0.0,1.0,16.7,16.7,22.7,63.6,4.5,0.0,22.7,30.3
2015-16,Pre+Season,NOP,New Orleans Pelicans,3,8.0,7.1,0.58,4.7,0.0,2.3,14.3,14.3,25.0,45.8,0.0,0.0,29.2,87.9
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,2,12.0,12.9,0.54,6.5,2.0,3.0,66.7,66.7,12.5,62.5,4.2,0.0,29.2,78.8
2015-16,Pre+Season,OKC,Oklahoma City Thunder,5,7.6,6.9,0.34,2.6,1.0,1.8,33.3,33.3,13.2,63.2,2.6,0.0,18.4,33.3
2015-16,Pre+Season,DET,Detroit Pistons,6,6.5,6.1,0.31,2.0,0.0,1.3,0.0,0.0,20.5,59.0,2.6,0.0,20.5,21.2
2015-16,Pre+Season,WAS,Washington Wizards,6,5.0,4.4,0.37,1.8,0.0,1.7,30.0,30.0,10.0,56.7,3.3,0.0,20.0,39.4
2015-16,Pre+Season,TOR,Toronto Raptors,5,5.8,5.5,0.31,1.8,0.0,1.2,16.7,16.7,24.1,51.7,6.9,0.0,20.7,24.2
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,2,8.5,7.7,0.47,4.0,2.0,2.0,75.0,87.5,11.8,64.7,5.9,0.0,23.5,63.6
2015-16,Pre+Season,PHX,Phoenix Suns,4,9.5,7.9,0.21,2.0,0.0,1.8,28.6,28.6,7.9,73.7,0.0,0.0,13.2,12.1
