SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,6.9,6.2,1.22,8.4,3.5,6.3,56.0,60.0,10.9,1.8,10.9,3.6,58.2,100,0
2015-16,pre-season,-,10.8,9.7,1.00,10.8,4.2,9.7,43.0,50.0,4.6,6.2,1.5,0.0,43.1,87.1,0
2015-16,pre-season,-,7.0,6.8,0.84,5.9,2.3,6.1,37.0,45.0,3.6,8.9,3.6,0.0,35.7,53.1,0
2015-16,pre-season,-,9.8,9.3,0.92,9.0,3.0,7.8,38.0,41.0,16.3,6.1,12.2,2.0,42.9,71.9,0
2015-16,pre-season,-,7.0,6.2,1.00,7.0,2.7,5.8,46.0,56.0,4.8,11.9,4.8,0.0,40.5,87.1,0
2015-16,pre-season,-,6.7,6.2,0.85,5.7,2.3,6.0,38.0,45.0,4.3,8.5,4.3,2.1,36.2,59.4,0
2015-16,pre-season,-,5.4,4.7,1.03,5.6,2.0,4.1,48.0,57.0,7.9,18.4,7.9,2.6,42.1,90.6,0
2015-16,pre-season,-,5.0,4.7,0.93,4.6,1.6,4.5,36.0,43.0,15.0,0.0,12.5,5.0,42.5,75.0,0
2015-16,pre-season,-,6.6,6.1,0.80,5.3,1.6,5.3,30.0,34.0,15.2,8.7,13.0,4.3,34.8,46.9,0
2015-16,pre-season,-,5.2,4.8,1.06,5.5,1.7,4.2,40.0,48.0,16.1,3.2,16.1,0.0,48.4,93.8,0
2015-16,pre-season,-,5.5,4.7,0.97,5.3,2.0,5.2,39.0,48.0,6.1,3.0,6.1,3.0,39.4,81.3,0
2015-16,pre-season,-,6.5,5.9,0.82,5.3,2.3,5.8,40.0,43.0,5.1,7.7,5.1,2.6,38.5,50.0,0
2015-16,pre-season,-,5.8,4.8,0.70,4.0,1.5,4.8,32.0,38.0,4.3,13.0,2.2,0.0,30.4,25.0,0
2015-16,pre-season,-,7.3,6.7,0.70,5.2,2.0,5.8,34.0,41.0,2.3,18.2,2.3,0.0,29.5,28.1,0
2015-16,pre-season,-,9.3,8.3,0.76,7.0,3.0,7.8,39.0,40.0,5.4,10.8,5.4,0.0,37.8,37.5,0
2015-16,pre-season,-,5.3,5.0,0.84,4.5,1.5,4.5,33.0,41.0,12.5,3.1,12.5,0.0,40.6,56.3,0
2015-16,pre-season,-,4.8,4.5,0.90,4.3,1.7,4.3,38.0,44.0,6.9,3.4,3.4,0.0,41.4,65.6,0
2015-16,pre-season,-,7.3,6.7,0.59,4.3,1.5,6.3,24.0,26.0,6.8,6.8,4.5,0.0,27.3,12.5,0
2015-16,pre-season,-,6.4,6.1,0.75,4.8,1.8,5.8,31.0,38.0,3.1,6.3,0.0,0.0,31.3,34.4,0
2015-16,pre-season,-,5.2,4.7,0.89,4.6,2.0,4.2,48.0,55.0,0.0,19.2,0.0,0.0,38.5,62.5,0
2015-16,pre-season,-,5.8,5.0,0.96,5.5,2.3,5.0,45.0,48.0,8.7,8.7,4.3,4.3,43.5,78.1,0
