SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2016-17,Pre+Season,OKC,Oklahoma City Thunder,6,12.8,11.3,0.97,12.5,5.0,9.7,51.7,51.7,14.3,14.3,13.0,3.9,49.4,76.7
2016-17,Pre+Season,DET,Detroit Pistons,6,10.7,10.2,1.06,11.3,5.0,8.2,59.2,59.2,12.5,14.1,10.9,3.1,53.1,93.3
2016-17,Pre+Season,ORL,Orlando Magic,6,10.7,9.5,1.00,10.7,5.0,9.5,49.1,49.1,7.8,3.1,4.7,0.0,51.6,83.3
2016-17,Pre+Season,PHI,Philadelphia 76ers,7,10.4,9.2,0.81,8.4,3.0,6.7,44.7,44.7,17.8,21.9,15.1,4.1,42.5,33.3
2016-17,Pre+Season,DEN,Denver Nuggets,7,10.3,8.7,0.78,8.0,2.0,6.7,31.9,31.9,22.2,15.3,16.7,2.8,40.3,26.7
2016-17,Pre+Season,WAS,Washington Wizards,7,7.7,6.8,0.98,7.6,3.0,6.0,50.0,50.0,16.7,13.0,13.0,7.4,48.1,80.0
2016-17,Pre+Season,SAC,Sacramento Kings,6,9.7,9.0,0.91,8.8,4.0,6.3,55.3,55.3,15.5,24.1,10.3,5.2,46.6,60.0
2016-17,Pre+Season,CHA,Charlotte Hornets,7,9.6,7.6,0.78,7.4,3.0,7.7,37.0,37.0,11.9,10.4,10.4,3.0,38.8,23.3
2016-17,Pre+Season,MEM,Memphis Grizzlies,6,9.3,8.0,0.88,8.2,3.0,7.5,44.4,44.4,10.7,8.9,7.1,0.0,46.4,44.8
2016-17,Pre+Season,LAC,LA Clippers,6,8.2,7.8,0.94,7.7,2.0,4.5,55.6,55.6,24.5,24.5,18.4,4.1,49.0,63.3
2016-17,Pre+Season,ATL,Atlanta Hawks,7,8.4,7.8,0.76,6.4,3.0,6.6,41.3,41.3,11.9,10.2,8.5,0.0,39.0,20.0
2016-17,Pre+Season,MIL,Milwaukee Bucks,6,10.7,10.1,0.69,7.3,3.0,8.0,39.6,39.6,10.9,15.6,9.4,1.6,35.9,3.3
2016-17,Pre+Season,CHI,Chicago Bulls,7,6.9,6.0,0.88,6.0,2.0,5.0,40.0,40.0,18.8,10.4,14.6,2.1,43.8,44.8
2016-17,Pre+Season,LAL,Los Angeles Lakers,8,6.8,5.8,0.76,5.1,2.0,4.0,40.6,40.6,24.1,18.5,20.4,1.9,42.6,16.7
2016-17,Pre+Season,DAL,Dallas Mavericks,6,7.8,7.3,0.81,6.3,3.0,6.7,42.5,42.5,4.3,10.6,2.1,0.0,40.4,36.7
