SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,9.3,7.7,0.93,8.6,4.0,8.3,48.5,48.5,5.4,5.4,2.7,0.0,47.3,40.6,0
2015-16,pre-season,-,7.6,7.2,0.97,7.4,3.0,6.0,56.3,56.3,13.1,8.2,11.5,0.0,50.8,46.9,0
2015-16,pre-season,-,6.3,5.5,1.27,8.0,3.0,5.1,61.1,63.9,20.5,4.5,20.5,7.0,61.4,87.5,0
2015-16,pre-season,-,7.6,6.7,0.98,7.4,3.0,6.1,44.2,45.3,17.0,3.8,17.0,2.0,50.9,50.0,0
2015-16,pre-season,-,7.8,7.3,1.06,8.3,4.0,7.2,53.5,53.5,6.4,4.3,6.4,2.0,53.2,62.5,0
2015-16,pre-season,-,6.1,5.7,1.14,7.0,3.0,4.9,55.9,55.9,18.6,7.0,16.3,5.0,58.1,75.0,0
2015-16,pre-season,-,8.3,7.4,1.42,11.8,4.0,6.3,72.0,72.0,33.3,0.0,27.3,9.0,75.8,100,0
2015-16,pre-season,-,6.6,5.9,1.36,9.0,4.0,5.8,65.5,67.2,15.2,3.0,15.2,6.0,66.7,96.9,0
2015-16,pre-season,-,6.8,6.1,0.83,5.6,2.0,5.5,43.2,43.2,11.1,7.4,9.3,0.0,44.4,15.6,0
2015-16,pre-season,-,6.4,5.8,1.31,8.4,3.0,5.2,65.4,65.4,15.6,6.3,15.6,3.0,65.6,90.6,0
2015-16,pre-season,-,6.3,5.5,1.10,7.0,3.0,5.2,61.3,61.3,10.5,7.9,13.2,3.0,55.3,68.8,0
2015-16,pre-season,-,5.8,5.3,1.06,6.2,2.0,4.7,53.6,55.4,11.4,8.6,2.9,0.0,54.3,56.3,0
2015-16,pre-season,-,6.2,5.6,1.00,6.2,2.0,4.5,51.9,51.9,32.4,5.4,32.4,11.0,54.1,53.1,0
2015-16,pre-season,-,5.2,4.6,1.16,6.0,3.0,4.2,64.0,64.0,19.4,3.2,19.4,3.0,61.3,78.1,0
2015-16,pre-season,-,5.7,5.2,1.06,6.0,2.0,4.5,51.9,53.7,14.7,11.8,11.8,6.0,50.0,59.4,0
2015-16,pre-season,-,4.3,4.1,1.35,5.8,2.0,3.3,75.0,75.0,11.5,11.5,11.5,0.0,69.2,93.8,0
2015-16,pre-season,-,5.0,4.4,1.13,5.7,2.0,4.3,57.7,57.7,6.7,6.7,3.3,0.0,56.7,71.9,0
2015-16,pre-season,-,7.0,5.9,0.79,5.5,2.0,5.0,43.3,43.3,21.4,9.5,21.4,2.0,42.9,12.5,0
2015-16,pre-season,-,4.8,4.6,1.08,5.2,2.0,3.2,50.0,50.0,20.8,12.5,16.7,0.0,54.2,65.6,0
2015-16,pre-season,-,5.4,5.2,0.93,5.0,2.0,4.8,41.7,41.7,11.1,3.7,11.1,4.0,44.4,37.5,0
2015-16,pre-season,-,3.5,3.4,0.89,3.1,1.0,3.0,45.8,45.8,10.7,3.6,10.7,0.0,46.4,25.0,0
2015-16,pre-season,-,4.8,4.4,0.92,4.4,2.0,4.4,45.5,45.5,8.3,4.2,8.3,4.0,45.8,31.3,0
2015-16,pre-season,-,5.3,5.0,0.69,3.7,1.0,4.5,29.6,29.6,18.8,3.1,15.6,6.0,37.5,6.3,0
2015-16,pre-season,-,2.7,2.4,1.25,3.3,1.0,1.8,63.6,63.6,25.0,6.3,25.0,0.0,68.8,84.4,0
2015-16,pre-season,-,5.5,4.6,0.91,5.0,2.0,4.8,47.4,47.4,9.1,4.5,4.5,0.0,45.5,28.1,0
2015-16,pre-season,-,3.3,3.1,0.87,2.9,1.0,2.3,50.0,50.0,17.4,13.0,17.4,0.0,52.2,18.8,0
2015-16,pre-season,-,5.0,4.4,0.95,4.8,2.0,4.5,50.0,50.0,10.0,10.0,10.0,10.0,45.0,43.8,0
2015-16,pre-season,-,4.5,4.2,0.89,4.0,2.0,3.8,46.7,46.7,11.1,5.6,5.6,0.0,50.0,21.9,0
2015-16,pre-season,-,7.3,6.5,0.73,5.3,2.0,6.7,35.0,35.0,4.5,4.5,4.5,0.0,36.4,9.4,0
2015-16,pre-season,-,5.5,5.0,1.18,6.5,3.0,5.0,60.0,60.0,9.1,0.0,0.0,0.0,63.6,81.3,0
2015-16,pre-season,-,6.5,7.0,0.92,6.0,3.0,6.5,46.2,46.2,0.0,0.0,0.0,0.0,46.2,34.4,0
2015-16,pre-season,-,4.3,4.0,0.59,2.5,1.0,3.5,28.6,28.6,5.9,11.8,0.0,0.0,29.4,0.0,0
2015-16,pre-season,-,8.0,7.5,1.13,9.0,4.0,7.0,57.1,57.1,12.5,0.0,12.5,0.0,62.5,0.0,0
