SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,29.3,24.2,0.92,27.0,9.0,24.6,36.5,49.7,7.3,9.4,4.7,0.9,36.3,54.3,0
2015-16,pre-season,-,24.1,22.5,1.01,24.0,8.0,21.4,38.0,51.0,5.9,5.9,3.6,0.6,39.1,82.9,0
2015-16,pre-season,-,25.4,22.6,0.93,24.0,8.0,23.7,35.5,47.0,3.9,3.4,2.8,0.6,35.4,57.1,0
2015-16,pre-season,-,24.4,22.6,0.90,22.0,8.0,22.4,35.0,46.8,3.5,5.8,3.5,1.2,34.5,42.9,0
2015-16,pre-season,-,24.8,22.3,0.77,19.0,7.0,22.0,32.4,40.9,2.5,9.1,2.0,0.5,30.8,14.3,0
2015-16,pre-season,-,17.4,16.8,1.02,18.0,6.0,15.4,38.2,51.2,7.2,5.0,6.5,0.7,40.3,85.7,0
2015-16,pre-season,-,15.9,14.9,1.09,17.0,6.0,14.8,40.7,53.0,4.7,3.1,3.1,0.8,41.7,91.4,0
2015-16,pre-season,-,20.3,17.7,0.94,19.0,6.0,16.9,36.4,47.9,9.2,7.7,8.5,0.0,39.4,65.7,0
2015-16,pre-season,-,22.7,19.5,0.91,21.0,8.0,20.7,37.1,50.0,0.7,8.8,0.7,0.7,33.8,51.4,0
2015-16,pre-season,-,22.3,20.9,0.90,20.0,7.0,19.5,35.0,45.3,6.7,6.7,6.0,0.7,35.8,45.7,0
2015-16,pre-season,-,19.4,17.7,1.23,24.0,8.0,17.6,47.7,63.1,4.1,5.2,4.1,0.0,47.4,100,0
2015-16,pre-season,-,19.3,17.3,1.00,19.0,7.0,17.2,38.8,51.0,6.0,5.2,6.9,0.9,38.8,80.0,0
2015-16,pre-season,-,19.3,18.2,0.99,19.0,7.0,18.0,38.9,49.5,4.3,4.3,3.4,1.7,38.8,77.1,0
