SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,pre-season,-,23.1,19.1,1.10,25.4,9.3,17.1,54.0,59.5,15.7,12.4,11.9,2.2,53.5,52.9,0
2015-16,pre-season,-,29.3,25.8,1.14,33.3,12.0,21.2,56.7,62.6,15.9,15.3,11.4,3.4,52.8,67.6,0
2015-16,pre-season,-,22.6,19.7,0.96,21.6,7.9,17.1,45.8,52.1,14.6,13.9,12.7,4.4,43.0,14.7,0
2015-16,pre-season,-,21.5,18.2,1.05,22.5,7.5,14.8,50.6,56.7,22.5,15.5,20.2,7.0,49.6,29.4,0
2015-16,pre-season,-,18.8,16.9,1.17,22.0,7.2,11.5,62.3,70.3,23.0,17.7,15.0,1.8,55.8,76.5,0
2015-16,pre-season,-,17.0,15.8,1.07,18.1,6.9,12.7,53.9,59.0,15.1,13.4,11.8,3.4,50.4,41.2,0
2015-16,pre-season,-,16.8,15.8,1.21,20.3,7.7,13.3,57.5,63.8,12.9,10.9,11.9,3.0,55.4,91.2,0
2015-16,pre-season,-,14.0,13.2,1.09,15.3,5.8,10.4,55.4,60.8,12.5,16.1,11.6,2.7,50.9,47.1,0
2015-16,pre-season,-,15.6,14.1,0.98,15.3,5.1,11.4,45.1,49.5,20.0,12.8,15.2,5.6,46.4,20.6,0
2015-16,pre-season,-,17.0,14.6,1.18,20.0,6.8,12.3,55.4,63.5,20.6,11.8,14.7,4.9,53.9,82.4,0
2015-16,pre-season,-,17.7,16.0,1.08,19.2,6.7,11.8,56.3,63.4,17.9,17.0,16.0,1.9,51.9,44.1,0
2015-16,pre-season,-,16.8,15.9,1.11,18.7,7.0,13.5,51.9,53.7,16.8,5.9,12.9,3.0,55.4,55.9,0
2015-16,pre-season,-,23.3,19.3,1.18,27.5,10.5,17.8,59.2,65.5,16.1,14.0,15.1,6.5,53.8,85.3,0
2015-16,pre-season,-,11.5,11.1,1.16,13.4,4.4,8.4,52.2,58.2,22.8,10.9,20.7,6.5,54.3,73.5,0
2015-16,pre-season,-,16.0,15.0,1.11,17.8,5.5,10.8,50.8,56.9,22.9,11.5,21.9,2.1,53.1,58.8,0
2015-16,pre-season,-,15.2,13.8,1.14,17.3,6.0,9.8,61.0,62.7,24.2,14.3,18.7,3.3,59.3,70.6,0
2015-16,pre-season,-,11.7,10.4,1.26,14.7,5.6,10.0,55.7,65.7,8.5,7.3,4.9,1.2,54.9,97.1,0
2015-16,pre-season,-,14.5,13.2,1.18,17.2,6.3,10.8,58.5,63.8,16.1,11.5,13.8,2.3,56.3,88.2,0
2015-16,pre-season,-,13.4,12.5,1.05,14.1,4.7,10.7,44.0,53.3,11.7,8.5,10.6,0.0,46.8,35.3,0
2015-16,pre-season,-,20.0,17.9,1.21,24.3,8.5,14.0,60.7,67.9,17.5,13.8,13.8,1.3,56.3,94.1,0
2015-16,pre-season,-,20.3,18.9,1.17,23.8,7.5,13.8,54.5,62.7,19.8,13.6,16.0,1.2,55.6,79.4,0
2015-16,pre-season,-,14.8,13.5,1.03,15.3,6.0,9.7,62.1,68.1,13.5,25.8,12.4,4.5,48.3,26.5,0
2015-16,pre-season,-,14.0,12.8,1.29,18.0,6.6,10.2,64.7,70.6,20.0,10.0,17.1,2.9,64.3,100,0
2015-16,pre-season,-,21.0,18.4,0.96,20.3,7.0,15.8,44.4,50.0,14.3,11.9,11.9,1.2,45.2,17.6,0
2015-16,pre-season,-,17.4,15.6,0.86,15.0,5.2,12.0,43.3,45.8,17.2,18.4,17.2,4.6,41.4,8.8,0
2015-16,pre-season,-,13.2,12.5,1.09,14.4,4.8,8.8,54.5,58.0,19.7,15.2,16.7,1.5,54.5,50.0,0
2015-16,pre-season,-,11.0,10.5,1.13,12.4,4.4,8.0,55.0,60.0,16.4,10.9,10.9,0.0,54.5,64.7,0
2015-16,pre-season,-,11.6,10.6,1.05,12.2,4.0,7.4,54.1,60.8,19.0,17.2,15.5,0.0,53.4,32.4,0
2015-16,pre-season,-,17.3,15.4,1.11,19.3,6.0,12.3,48.6,56.8,19.2,9.6,17.3,0.0,51.9,61.8,0
2015-16,pre-season,-,10.0,9.3,0.85,8.5,2.8,6.5,42.3,46.2,22.5,15.0,17.5,2.5,45.0,5.9,0
2015-16,pre-season,-,18.0,16.2,1.00,18.0,8.0,13.0,61.5,65.4,11.1,16.7,11.1,0.0,50.0,23.5,0
2015-16,pre-season,-,11.5,10.5,0.78,9.0,2.5,7.5,33.3,36.7,17.4,17.4,4.3,0.0,39.1,2.9,0
2015-16,pre-season,-,16.0,12.9,1.06,17.0,6.0,12.0,50.0,54.2,18.8,12.5,12.5,6.3,50.0,38.2,0
2015-16,pre-season,-,17.0,16.0,0.94,16.0,7.0,13.0,53.8,53.8,11.8,17.6,11.8,5.9,47.1,11.8,0
2015-16,pre-season,-,7.0,7.5,0.71,5.0,2.5,6.0,41.7,41.7,0.0,14.3,0.0,0.0,35.7,0.0,0
2015-16,pre-season,-,3.0,2.9,1.33,4.0,2.0,3.0,66.7,66.7,0.0,0.0,0.0,0.0,66.7,0.0,0
2015-16,regular-season,-,21.2,19.0,1.11,23.5,8.5,16.0,53.2,60.4,14.9,12.1,13.4,2.8,51.1,48.3,0
2015-16,regular-season,-,21.0,18.5,1.09,22.7,8.7,15.4,56.5,62.2,12.7,15.8,10.8,2.3,51.2,34.5,0
2015-16,regular-season,-,20.6,18.9,1.10,22.7,8.3,15.6,53.0,58.6,16.6,10.8,14.6,3.3,52.3,41.4,0
2015-16,regular-season,-,19.5,17.5,1.16,22.5,8.6,15.0,57.6,65.8,10.7,14.2,9.5,1.9,52.4,93.1,0
2015-16,regular-season,-,18.0,16.0,1.13,20.4,7.4,13.1,56.0,61.2,17.5,13.5,14.9,4.1,53.4,65.5,0
2015-16,regular-season,-,18.5,16.3,1.10,20.4,7.6,14.4,52.9,58.3,13.2,11.4,11.4,2.6,51.3,44.8,0
2015-16,regular-season,-,16.9,15.5,1.11,18.7,7.0,12.7,54.9,59.8,15.6,12.9,14.1,3.8,52.3,55.2,0
2015-16,regular-season,-,16.0,14.9,1.12,17.9,7.0,12.4,56.4,62.3,11.7,13.9,10.3,3.0,51.6,58.6,0
2015-16,regular-season,-,16.2,14.5,1.08,17.5,6.6,12.3,53.6,59.2,13.6,13.5,11.6,2.7,50.3,24.1,0
2015-16,regular-season,-,16.6,15.2,1.05,17.5,6.5,12.9,50.6,58.1,12.1,13.0,10.3,2.6,47.8,13.8,0
2015-16,regular-season,-,14.7,13.8,1.14,16.8,6.3,10.7,58.9,62.6,16.3,14.1,14.7,3.3,54.8,75.9,0
2015-16,regular-season,-,14.0,13.2,1.20,16.7,6.3,10.6,59.0,66.1,14.9,12.4,13.1,3.4,55.4,96.6,0
2015-16,regular-season,-,14.7,13.4,1.13,16.7,6.2,11.1,55.4,59.1,16.1,11.6,14.3,3.5,54.2,62.1,0
2015-16,regular-season,-,14.5,13.5,1.14,16.4,6.1,10.2,59.5,62.2,17.5,14.9,15.8,3.3,55.5,69.0,0
2015-16,regular-season,-,14.6,13.4,1.11,16.2,6.1,11.0,55.7,60.4,15.5,12.5,13.5,3.3,53.1,51.7,0
2015-16,regular-season,-,13.8,12.8,1.14,15.8,6.0,10.7,55.4,62.0,12.9,11.8,10.9,2.7,52.3,79.3,0
2015-16,regular-season,-,14.4,13.1,1.08,15.6,5.7,11.1,51.6,57.8,14.6,12.1,12.4,3.5,49.5,27.6,0
2015-16,regular-season,-,13.6,12.8,1.14,15.5,5.6,10.1,55.5,62.9,14.8,13.3,12.4,2.4,52.6,82.8,0
2015-16,regular-season,-,12.2,11.6,1.21,14.8,5.1,9.1,56.6,63.4,18.5,10.7,15.4,3.6,56.7,100,0
2015-16,regular-season,-,13.6,12.6,1.07,14.5,5.7,10.5,55.0,59.7,11.3,13.7,10.3,2.1,50.6,20.7,0
2015-16,regular-season,-,13.7,12.5,1.05,14.3,5.3,10.2,52.3,58.3,13.4,14.6,11.5,2.5,49.1,10.3,0
2015-16,regular-season,-,13.2,12.6,1.08,14.2,5.6,10.0,55.7,59.4,13.7,13.0,12.4,2.7,52.4,31.0,0
2015-16,regular-season,-,13.9,12.9,1.00,13.9,5.2,10.3,50.3,55.7,12.2,15.1,11.3,1.7,47.4,3.4,0
2015-16,regular-season,-,11.4,10.7,1.15,13.1,4.7,8.8,53.5,60.3,15.3,10.5,12.5,2.9,53.1,86.2,0
2015-16,regular-season,-,12.2,11.5,1.06,13.0,4.9,9.3,53.1,57.2,14.6,12.7,12.1,3.6,50.7,17.2,0
2015-16,regular-season,-,12.9,11.7,0.99,12.8,4.8,9.9,48.9,54.3,11.7,13.3,10.8,1.6,46.8,0.0,0
2015-16,regular-season,-,11.0,10.5,1.14,12.5,4.8,8.2,58.6,62.9,15.1,14.1,11.6,3.5,54.4,72.4,0
2015-16,regular-season,-,11.2,10.8,1.09,12.3,4.8,9.0,54.1,58.6,11.5,11.8,9.1,3.1,50.9,37.9,0
2015-16,regular-season,-,11.9,11.2,1.02,12.1,4.3,9.1,47.1,53.5,14.5,11.7,12.9,2.8,46.9,6.9,0
2015-16,regular-season,-,10.2,9.6,1.16,11.8,4.1,8.1,50.8,58.3,15.5,8.0,13.2,2.4,52.4,89.7,0
2015-16,playoffs,-,17.3,15.8,1.05,18.2,6.8,13.1,51.9,58.8,11.6,14.7,9.6,1.9,48.2,46.7,0
2015-16,playoffs,-,15.2,14.8,1.18,18.0,6.7,11.8,56.7,65.4,13.4,12.5,11.9,3.1,53.1,66.7,0
2015-16,playoffs,-,16.1,14.6,1.15,18.5,6.3,10.8,57.9,63.3,19.0,14.9,18.0,2.1,55.4,53.3,0
2015-16,playoffs,-,12.2,11.7,1.17,14.3,5.0,9.1,55.2,61.6,17.2,11.5,15.2,2.9,54.5,60.0,0
2015-16,playoffs,-,12.4,12.1,1.05,12.9,5.0,9.5,52.6,57.1,13.3,13.9,12.7,4.6,49.1,40.0,0
2015-16,playoffs,-,12.0,10.6,1.24,14.8,5.4,9.8,54.6,64.4,11.4,6.8,11.4,1.5,54.5,93.3,0
2015-16,playoffs,-,11.3,11.1,1.43,16.2,6.0,9.4,63.8,74.5,14.2,4.4,12.4,1.8,64.6,100,0
2015-16,playoffs,-,16.7,15.5,0.95,15.9,5.8,12.9,45.0,52.7,10.2,13.2,9.6,0.6,43.7,26.7,0
2015-16,playoffs,-,16.0,16.1,1.21,19.3,6.9,12.0,57.1,64.3,13.4,12.5,9.8,0.9,55.4,86.7,0
2015-16,playoffs,-,14.0,12.4,0.88,12.3,5.0,11.0,45.5,47.7,10.7,14.3,10.7,3.6,42.9,13.3,0
2015-16,playoffs,-,20.0,17.2,0.72,14.4,5.0,13.4,37.3,41.8,11.0,23.0,9.0,1.0,34.0,0.0,0
2015-16,playoffs,-,11.2,10.4,0.97,10.8,4.3,8.7,50.0,55.8,11.9,11.9,11.9,3.0,46.3,33.3,0
2015-16,playoffs,-,9.9,9.8,0.91,9.0,3.1,8.0,39.3,43.8,13.0,7.2,13.0,1.4,42.0,20.0,0
2015-16,playoffs,-,12.3,13.1,1.20,14.8,5.8,10.0,57.5,66.3,8.2,12.2,8.2,2.0,53.1,73.3,0
2015-16,playoffs,-,7.8,7.5,1.21,9.4,3.4,5.6,60.7,67.9,15.4,15.4,12.8,2.6,56.4,80.0,0
2015-16,playoffs,-,11.8,11.3,0.87,10.3,3.5,9.5,36.8,38.2,12.8,6.4,10.6,0.0,42.6,6.7,0
2016-17,pre-season,-,21.4,18.5,1.16,24.8,9.3,16.5,56.1,65.5,12.3,12.9,11.1,2.3,51.5,84.4,0
2016-17,pre-season,-,22.3,20.3,1.14,25.4,8.4,16.4,51.3,61.7,14.7,14.1,13.5,2.6,49.4,75.0,0
2016-17,pre-season,-,20.6,17.4,1.11,22.9,8.6,16.3,52.6,59.6,12.5,11.1,11.8,2.8,50.7,59.4,0
2016-17,pre-season,-,22.5,20.9,1.14,25.7,10.2,18.0,56.5,60.6,9.6,11.1,6.7,0.7,54.1,71.9,0
2016-17,pre-season,-,22.5,19.2,1.10,24.8,7.8,14.7,53.4,59.1,26.7,11.9,23.7,3.7,54.8,56.3,0
2016-17,pre-season,-,24.7,20.4,0.98,24.2,9.0,17.0,52.9,58.8,12.2,18.9,8.8,0.0,47.3,18.8,0
2016-17,pre-season,-,18.4,17.0,1.12,20.6,6.9,13.6,50.5,54.7,19.4,9.3,18.6,3.1,53.5,62.5,0
2016-17,pre-season,-,19.7,18.3,1.20,23.5,8.8,14.5,60.9,66.7,16.9,16.1,16.1,6.8,55.1,96.9,0
2016-17,pre-season,-,18.3,14.5,1.16,21.3,7.8,14.0,56.0,63.7,16.4,10.9,13.6,3.6,52.7,87.5,0
2016-17,pre-season,-,18.0,15.3,1.02,18.3,6.6,13.3,49.5,53.8,15.9,13.5,13.5,3.2,48.4,34.4,0
2016-17,pre-season,-,18.8,16.7,1.10,20.7,6.8,12.7,53.9,60.5,19.5,16.8,16.8,3.5,52.2,53.1,0
2016-17,pre-season,-,17.0,15.1,1.02,17.3,6.3,12.1,51.8,55.3,17.6,11.8,14.3,0.8,51.3,37.5,0
2016-17,pre-season,-,17.5,16.2,1.13,19.8,7.5,13.7,54.9,61.0,15.2,10.5,15.2,3.8,52.4,65.6,0
2016-17,pre-season,-,15.7,15.0,1.20,18.8,6.3,10.8,58.5,65.4,21.3,11.7,19.1,2.1,58.5,100,0
2016-17,pre-season,-,19.2,17.2,1.18,22.6,8.8,14.8,59.5,64.9,11.5,11.5,10.4,1.0,56.3,93.8,0
2016-17,pre-season,-,15.6,13.7,1.02,15.9,6.3,11.4,55.0,58.1,14.7,15.6,14.7,3.7,50.5,40.6,0
2016-17,pre-season,-,19.2,16.5,0.96,18.5,7.0,14.0,50.0,56.0,12.2,16.5,13.0,2.6,45.2,15.6,0
2016-17,pre-season,-,17.3,15.3,0.92,15.9,6.0,12.3,48.8,52.3,13.2,17.4,11.6,1.7,45.5,9.4,0
2016-17,pre-season,-,20.3,17.9,0.91,18.5,7.3,14.8,49.4,53.4,12.3,18.0,12.3,3.3,42.6,6.3,0
2016-17,pre-season,-,15.7,14.9,1.17,18.3,6.2,11.0,56.1,59.8,24.5,11.7,21.3,6.4,57.4,90.6,0
2016-17,pre-season,-,16.3,14.6,1.04,17.0,6.3,11.2,56.7,61.9,16.3,16.3,16.3,2.0,51.0,43.8,0
2016-17,pre-season,-,16.9,14.9,0.86,14.6,4.7,12.4,37.9,42.5,14.4,13.6,12.7,1.7,40.7,3.1,0
2016-17,pre-season,-,15.6,12.3,0.93,14.4,4.9,11.4,42.5,45.6,19.3,10.1,17.4,2.8,47.7,12.5,0
2016-17,pre-season,-,13.7,12.7,1.04,14.3,5.3,9.9,53.6,58.7,15.6,16.7,12.5,4.2,47.9,46.9,0
2016-17,pre-season,-,16.4,15.2,1.15,18.8,7.2,12.6,57.1,63.5,11.0,13.4,11.0,1.2,53.7,81.3,0
2016-17,pre-season,-,13.0,11.9,1.01,13.1,4.9,9.1,53.1,61.7,12.1,20.9,9.9,3.3,46.2,28.1,0
2016-17,pre-season,-,20.3,18.2,0.99,20.0,7.8,13.3,58.5,60.4,13.6,22.2,12.3,1.2,49.4,21.9,0
2016-17,pre-season,-,11.2,10.4,1.13,12.7,3.8,7.0,54.8,59.5,26.9,11.9,22.4,1.5,56.7,68.8,0
2016-17,pre-season,-,11.0,10.5,1.01,11.2,4.0,7.8,51.1,55.3,18.2,15.2,13.6,4.5,48.5,31.3,0
2016-17,pre-season,-,10.5,9.8,1.00,10.5,4.2,8.0,52.1,56.3,14.3,12.7,11.1,3.2,46.0,25.0,0
2016-17,pre-season,-,16.0,13.9,1.06,17.0,8.0,15.0,53.3,53.3,6.3,6.3,6.3,6.3,50.0,50.0,0
