SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2015-16,Pre+Season,ATL,Atlanta Hawks,14.1,26.4,53.5,2.4,7.6,32.1,1.7,5.3,32.4,4.6,11.1,41.0,7.0,20.4,34.3,2.3,7.3,31.4
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,14.5,25.0,58.0,1.5,3.0,50.0,1.0,2.0,50.0,4.5,8.0,56.3,5.5,20.5,26.8,6.5,24.5,26.5
2015-16,Pre+Season,BOS,Boston Celtics,20.6,33.7,61.0,3.4,9.9,34.8,2.0,5.7,35.0,3.7,11.7,31.7,5.9,16.9,34.7,3.6,9.6,37.3
2015-16,Pre+Season,BKN,Brooklyn Nets,12.5,24.8,50.3,4.8,11.0,43.9,1.8,5.5,33.3,4.8,12.5,38.7,4.7,13.3,35.0,4.7,11.7,40.0
2015-16,Pre+Season,CHA,Charlotte Hornets,11.4,21.3,53.5,2.3,8.6,26.1,3.3,8.3,39.4,5.3,11.6,45.2,5.8,13.4,43.0,5.6,16.0,35.2
2015-16,Pre+Season,CHI,Chicago Bulls,14.8,27.3,54.1,2.6,7.8,33.9,2.4,6.6,35.8,4.9,12.8,38.2,8.5,21.5,39.5,3.8,12.4,30.3
2015-16,Pre+Season,CLE,Cleveland Cavaliers,13.0,21.9,59.5,2.6,7.3,35.3,1.3,4.3,30.0,4.4,10.7,41.3,7.4,20.0,37.1,4.0,13.7,29.2
2015-16,Pre+Season,DAL,Dallas Mavericks,15.7,26.0,60.4,2.4,6.1,39.5,2.1,6.1,34.9,3.0,11.3,26.6,7.6,25.9,29.3,1.3,6.6,19.6
2015-16,Pre+Season,DEN,Denver Nuggets,17.7,31.1,56.9,3.1,9.4,33.3,1.4,5.3,27.0,4.7,10.1,46.5,6.9,18.7,36.6,2.9,9.6,29.9
2015-16,Pre+Season,DET,Detroit Pistons,16.0,26.4,60.7,4.0,10.8,37.2,2.6,7.8,33.9,4.5,9.5,47.4,5.5,14.4,38.3,4.9,13.4,36.4
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,11.0,16.0,68.8,1.0,4.0,25.0,1.0,7.0,14.3,4.0,12.0,33.3,2.0,11.0,18.2,6.0,26.0,23.1
2015-16,Pre+Season,GSW,Golden State Warriors,14.6,22.4,65.0,4.3,9.9,43.5,2.1,6.7,31.9,4.7,11.9,39.8,6.4,14.9,43.3,3.9,11.9,32.5
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,12.5,23.0,54.3,2.5,5.5,45.5,4.0,11.0,36.4,3.5,9.5,36.8,5.5,19.5,28.2,3.0,13.0,23.1
2015-16,Pre+Season,HOU,Houston Rockets,18.8,35.3,53.2,3.4,7.9,42.9,1.6,4.4,37.1,3.1,6.5,48.1,8.1,23.5,34.6,3.4,13.4,25.2
2015-16,Pre+Season,IND,Indiana Pacers,15.3,23.6,64.8,2.7,7.9,34.5,2.9,7.0,40.8,5.9,15.0,39.0,5.3,16.6,31.9,4.1,13.3,31.2
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,12.5,25.5,49.0,2.5,5.5,45.5,4.0,8.0,50.0,5.5,14.0,39.3,6.5,18.5,35.1,4.0,10.5,38.1
