SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,23.3,8.6,19.1,44.9,45.1,22.7,8.5,18.6,45.7,0.6,0.1,0.5,14.6
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,22.3,8.4,18.1,46.6,46.8,21.9,8.3,17.8,47.0,0.4,0.1,0.3,25.0
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,21.6,7.9,18.0,43.6,43.6,21.3,7.8,17.8,44.0,0.2,0.0,0.2,5.9
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,19.6,7.3,17.1,42.4,42.7,19.3,7.2,16.9,42.5,0.3,0.1,0.3,33.3
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,20.3,8.0,17.1,46.9,47.1,20.0,8.0,16.9,47.2,0.3,0.1,0.3,27.3
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,19.7,7.6,16.9,45.2,45.9,18.9,7.4,16.2,45.7,0.9,0.2,0.7,33.3
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,19.5,7.0,16.7,41.8,42.2,18.8,6.8,16.1,42.6,0.8,0.1,0.7,22.2
2015-16,Regular+Season,DET,Detroit Pistons,82,82,19.3,7.4,16.6,44.2,44.3,18.9,7.3,16.4,44.9,0.3,0.0,0.3,8.3
2015-16,Regular+Season,UTA,Utah Jazz,82,82,20.3,7.4,16.3,45.4,45.7,19.9,7.3,16.0,46.0,0.5,0.1,0.4,20.0
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,19.3,7.5,16.2,46.5,46.6,19.0,7.5,15.9,47.1,0.3,0.0,0.3,12.5
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,18.9,6.8,16.1,42.1,42.6,18.3,6.6,15.5,42.7,0.7,0.1,0.6,26.1
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,18.6,6.9,15.9,43.1,43.3,18.3,6.8,15.6,43.6,0.4,0.1,0.3,20.0
2015-16,Regular+Season,BOS,Boston Celtics,81,81,17.8,7.1,15.9,44.9,45.1,17.5,7.1,15.6,45.3,0.3,0.1,0.3,23.8
2015-16,Regular+Season,IND,Indiana Pacers,82,82,18.5,7.3,15.7,46.7,47.0,18.0,7.2,15.3,47.1,0.5,0.1,0.4,28.1
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,18.2,7.0,15.7,44.4,44.5,17.9,7.0,15.5,44.8,0.2,0.0,0.2,12.5
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,18.8,7.7,15.6,49.6,49.8,18.5,7.7,15.3,49.9,0.3,0.1,0.2,29.4
2015-16,Regular+Season,ORL,Orlando Magic,81,81,17.8,7.3,15.4,47.2,47.3,17.5,7.3,15.2,47.8,0.3,0.0,0.3,14.3
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,18.8,7.1,15.2,46.6,47.1,18.2,6.9,14.8,47.0,0.6,0.2,0.5,34.2
2015-16,Regular+Season,NYK,New York Knicks,82,82,18.0,6.5,15.1,43.2,43.2,17.6,6.5,14.8,44.0,0.4,0.0,0.3,7.4
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,17.3,6.7,14.9,45.2,45.2,17.2,6.7,14.7,45.5,0.2,0.0,0.2,15.4
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,17.1,7.0,14.8,47.7,48.1,16.5,6.9,14.3,48.6,0.6,0.1,0.5,22.0
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,17.2,6.4,14.6,44.1,45.1,16.2,6.1,13.6,44.8,1.1,0.3,0.9,33.3
2015-16,Regular+Season,MIA,Miami Heat,82,82,17.8,7.4,14.5,50.7,50.7,17.5,7.3,14.3,51.3,0.3,0.0,0.2,5.9
2015-16,Regular+Season,HOU,Houston Rockets,82,82,17.1,6.6,14.3,46.5,46.8,16.6,6.5,13.9,46.9,0.5,0.1,0.4,29.0
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,16.0,6.5,14.0,46.1,46.4,15.5,6.4,13.5,47.1,0.5,0.1,0.5,17.9
2015-16,Regular+Season,WAS,Washington Wizards,82,82,15.8,6.4,13.5,47.4,47.7,15.5,6.3,13.3,47.8,0.3,0.1,0.2,27.8
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,16.1,6.2,13.5,45.8,46.2,15.4,6.0,12.9,46.9,0.7,0.1,0.6,22.0
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,14.6,5.5,12.3,44.9,45.1,14.3,5.5,12.1,45.4,0.3,0.1,0.2,21.1
2015-16,Regular+Season,LAC,LA Clippers,82,82,14.1,5.8,11.6,50.1,50.9,13.5,5.6,11.2,50.5,0.6,0.2,0.5,39.5
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,13.6,5.2,11.4,45.6,45.7,13.2,5.2,11.1,46.8,0.4,0.0,0.3,7.1
2016-17,Playoffs,IND,Indiana Pacers,4,4,21.6,9.0,18.8,48.0,48.7,20.4,8.8,17.8,49.3,1.1,0.3,1.0,25.0
