SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Playoffs,LAC,LA Clippers,6,6,6.3,1.3,5.3,25.0,26.6,5.5,1.2,4.7,25.0,0.8,0.2,0.7,25.0
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,17,3.2,0.8,2.7,29.2,31.3,2.6,0.7,2.2,30.8,0.6,0.1,0.5,22.2
2015-16,Playoffs,GSW,Golden State Warriors,24,22,3.0,1.1,2.6,43.5,46.8,2.3,1.0,2.0,47.9,0.7,0.2,0.6,28.6
2015-16,Playoffs,IND,Indiana Pacers,7,7,2.9,0.7,2.1,33.3,33.3,2.3,0.7,1.7,41.7,0.6,0.0,0.4,0.0
2015-16,Playoffs,TOR,Toronto Raptors,20,18,2.5,0.3,2.0,17.1,18.3,2.1,0.3,1.7,17.6,0.4,0.1,0.3,14.3
2015-16,Playoffs,BOS,Boston Celtics,6,5,2.2,0.8,2.0,41.7,45.8,2.0,0.7,1.8,36.4,0.2,0.2,0.2,100
2015-16,Playoffs,DET,Detroit Pistons,4,4,2.7,0.8,2.0,37.5,37.5,1.7,0.8,1.3,60.0,1.0,0.0,0.8,0.0
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,17,2.4,0.5,2.0,26.2,29.8,1.4,0.4,1.1,33.3,1.0,0.1,0.9,16.7
2015-16,Playoffs,MIA,Miami Heat,14,12,2.4,0.8,1.9,40.7,42.6,2.1,0.7,1.7,41.7,0.3,0.1,0.2,33.3
2015-16,Playoffs,SAS,San Antonio Spurs,10,9,2.1,0.2,1.7,11.8,11.8,1.5,0.2,1.2,16.7,0.6,0.0,0.5,0.0
2015-16,Playoffs,POR,Portland Trail Blazers,11,10,1.7,0.4,1.6,23.5,26.5,1.3,0.3,1.2,23.1,0.4,0.1,0.4,25.0
2015-16,Playoffs,MEM,Memphis Grizzlies,4,3,1.8,0.5,1.5,33.3,33.3,1.5,0.5,1.3,40.0,0.3,0.0,0.3,0.0
2015-16,Playoffs,CHA,Charlotte Hornets,7,5,1.8,0.4,1.4,30.0,35.0,1.6,0.3,1.3,22.2,0.2,0.1,0.1,100
2015-16,Playoffs,ATL,Atlanta Hawks,10,6,1.4,0.2,1.2,16.7,16.7,1.1,0.2,0.9,22.2,0.4,0.0,0.3,0.0
2015-16,Playoffs,HOU,Houston Rockets,5,3,0.9,0.2,0.8,25.0,37.5,0.5,0.0,0.4,0.0,0.5,0.2,0.4,50.0
2015-16,Playoffs,DAL,Dallas Mavericks,5,2,0.5,0.4,0.4,100,100,0.5,0.4,0.4,100,0.0,0.0,0.0,-
2016-17,Regular+Season,TOR,Toronto Raptors,81,74,3.6,1.2,3.1,39.9,43.1,2.9,1.0,2.4,42.1,0.7,0.2,0.6,31.4
2016-17,Regular+Season,POR,Portland Trail Blazers,82,76,3.5,1.2,3.0,41.1,46.0,2.7,0.9,2.3,41.5,0.9,0.3,0.7,40.0
2016-17,Regular+Season,CHA,Charlotte Hornets,82,75,3.5,1.0,3.0,32.9,38.5,2.2,0.7,1.9,34.9,1.3,0.3,1.1,29.7
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,74,3.1,0.9,2.7,33.5,37.1,2.4,0.7,2.1,33.9,0.7,0.2,0.6,32.0
2016-17,Regular+Season,NYK,New York Knicks,82,75,3.0,1.0,2.7,37.9,38.8,2.7,1.0,2.4,39.7,0.3,0.1,0.2,20.0
2016-17,Regular+Season,GSW,Golden State Warriors,82,72,3.1,0.9,2.7,33.8,36.3,2.4,0.8,2.1,36.8,0.7,0.1,0.6,22.9
2016-17,Regular+Season,PHX,Phoenix Suns,80,73,3.0,0.9,2.6,35.5,37.4,2.5,0.8,2.2,37.9,0.5,0.1,0.4,23.5
2016-17,Regular+Season,DET,Detroit Pistons,82,75,3.0,1.0,2.6,37.5,38.7,2.7,0.9,2.4,39.0,0.3,0.1,0.3,23.8
2016-17,Regular+Season,UTA,Utah Jazz,82,75,3.1,1.0,2.5,38.7,42.2,2.5,0.8,1.9,40.6,0.7,0.2,0.5,31.8
2016-17,Regular+Season,CHI,Chicago Bulls,82,67,2.6,0.8,2.3,36.8,38.4,2.3,0.8,2.0,37.1,0.3,0.1,0.2,33.3
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,69,2.6,0.7,2.2,33.7,34.3,2.3,0.7,2.0,36.4,0.3,0.0,0.2,10.5
2016-17,Regular+Season,IND,Indiana Pacers,81,64,2.3,0.7,1.9,36.1,39.6,1.8,0.6,1.5,38.3,0.6,0.1,0.5,28.9
2016-17,Regular+Season,MIA,Miami Heat,82,70,2.2,0.6,1.9,31.8,35.0,1.6,0.5,1.4,34.8,0.6,0.1,0.5,23.8
2016-17,Regular+Season,BOS,Boston Celtics,82,68,2.2,0.6,1.9,33.1,38.0,1.3,0.4,1.1,39.1,0.9,0.2,0.8,24.2
2016-17,Regular+Season,SAS,San Antonio Spurs,81,66,2.1,0.6,1.8,31.3,34.0,1.8,0.5,1.5,30.3,0.3,0.1,0.3,36.4
2016-17,Regular+Season,LAC,LA Clippers,82,61,2.1,0.7,1.8,39.3,44.8,1.3,0.5,1.1,47.1,0.9,0.2,0.7,27.6
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,65,2.1,0.7,1.8,37.9,43.1,1.4,0.5,1.2,41.7,0.7,0.2,0.6,30.6
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,67,2.0,0.6,1.8,32.4,33.4,1.7,0.5,1.4,37.0,0.4,0.0,0.3,11.5
2016-17,Regular+Season,ATL,Atlanta Hawks,82,70,2.1,0.6,1.8,34.0,36.1,1.7,0.5,1.4,36.4,0.4,0.1,0.3,23.1
2016-17,Regular+Season,BKN,Brooklyn Nets,81,62,1.9,0.5,1.6,31.8,36.7,1.3,0.4,1.1,31.5,0.6,0.2,0.5,32.5
2016-17,Regular+Season,ORL,Orlando Magic,82,67,1.9,0.5,1.6,32.1,34.0,1.4,0.5,1.2,37.6,0.5,0.1,0.4,15.2
2016-17,Regular+Season,DAL,Dallas Mavericks,81,64,1.9,0.6,1.6,35.7,38.4,1.5,0.5,1.2,39.8,0.5,0.1,0.4,22.6
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,66,1.8,0.6,1.5,38.9,40.1,1.5,0.6,1.3,42.2,0.2,0.0,0.2,17.6
2016-17,Regular+Season,SAC,Sacramento Kings,82,61,1.7,0.5,1.4,32.2,34.3,1.4,0.4,1.1,35.2,0.4,0.1,0.3,20.8
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,61,1.7,0.5,1.4,33.9,40.6,1.0,0.3,0.8,33.8,0.7,0.2,0.5,34.1
2016-17,Regular+Season,DEN,Denver Nuggets,81,55,1.5,0.4,1.4,28.2,30.0,1.2,0.3,1.0,32.1,0.4,0.1,0.3,15.4
2016-17,Regular+Season,WAS,Washington Wizards,82,56,1.6,0.6,1.4,41.4,42.8,1.3,0.5,1.1,47.3,0.3,0.0,0.2,15.0
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,55,1.5,0.3,1.3,26.0,28.4,1.0,0.3,0.9,31.0,0.5,0.1,0.4,15.2
2016-17,Regular+Season,HOU,Houston Rockets,82,55,1.4,0.3,1.2,29.9,36.6,0.6,0.2,0.5,38.1,0.8,0.2,0.7,23.6
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,58,1.4,0.3,1.2,28.4,31.1,1.0,0.3,0.9,31.0,0.3,0.1,0.3,20.8
