SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2016-17,Playoffs,BOS,Boston Celtics,18,18,52.7,20.9,44.3,47.3,58.8,21.6,10.7,18.2,59.0,31.1,10.2,26.1,39.1
2016-17,Playoffs,GSW,Golden State Warriors,17,17,50.7,22.3,44.1,50.5,60.7,24.7,13.3,21.5,62.0,26.0,8.9,22.6,39.6
2016-17,Playoffs,WAS,Washington Wizards,13,13,47.1,18.4,41.2,44.6,52.3,24.2,12.0,21.2,56.5,22.8,6.4,20.0,31.9
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,5,46.9,19.4,41.0,47.3,54.6,24.7,13.4,21.6,62.0,22.2,6.0,19.4,30.9
2016-17,Playoffs,IND,Indiana Pacers,4,4,45.7,17.5,39.8,44.0,52.8,23.6,10.5,20.5,51.2,22.1,7.0,19.3,36.4
2016-17,Playoffs,CHI,Chicago Bulls,6,6,47.1,18.5,38.8,47.6,55.4,25.9,12.5,21.3,58.6,21.2,6.0,17.5,34.3
2016-17,Playoffs,SAS,San Antonio Spurs,16,16,44.3,18.1,38.4,47.1,56.3,22.4,11.0,19.4,56.8,21.9,7.1,19.0,37.2
2016-17,Playoffs,TOR,Toronto Raptors,10,10,46.6,15.9,37.0,43.0,51.8,23.4,9.4,18.6,50.5,23.2,6.5,18.4,35.3
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,18,43.7,18.8,36.3,51.8,65.6,16.9,8.8,14.0,63.1,26.9,10.0,22.3,44.8
2016-17,Playoffs,MIL,Milwaukee Bucks,6,6,45.8,16.3,35.8,45.6,56.7,22.0,8.3,17.2,48.5,23.9,8.0,18.7,42.9
2016-17,Playoffs,POR,Portland Trail Blazers,4,4,39.4,14.5,35.3,41.1,51.4,14.8,7.3,13.3,54.7,24.6,7.3,22.0,33.0
2016-17,Playoffs,ATL,Atlanta Hawks,6,6,41.2,13.3,34.8,38.3,44.3,20.3,9.2,17.2,53.4,20.9,4.2,17.7,23.6
2016-17,Playoffs,UTA,Utah Jazz,11,11,43.7,17.4,34.3,50.7,61.3,22.0,10.1,17.3,58.4,21.7,7.3,17.0,42.8
2016-17,Playoffs,HOU,Houston Rockets,11,11,39.5,16.4,33.5,48.8,60.3,15.2,8.6,12.9,66.9,24.3,7.7,20.6,37.4
2016-17,Playoffs,MEM,Memphis Grizzlies,6,6,43.0,14.3,33.2,43.2,53.5,20.1,7.5,15.5,48.4,22.9,6.8,17.7,38.7
2016-17,Playoffs,LAC,LA Clippers,7,7,38.0,15.3,29.3,52.2,62.4,19.5,9.3,15.0,61.9,18.6,6.0,14.3,42.0
2017-18,Regular+Season,PHI,Philadelphia 76ers,81,81,52.2,21.7,45.2,48.0,58.7,22.5,12.0,19.5,61.6,29.7,9.7,25.8,37.7
2017-18,Regular+Season,GSW,Golden State Warriors,82,82,51.1,23.1,43.3,53.4,62.6,27.7,15.2,23.5,64.5,23.4,8.0,19.8,40.2
2017-18,Regular+Season,TOR,Toronto Raptors,82,82,49.7,20.6,43.3,47.5,58.1,20.9,11.4,18.2,62.8,28.8,9.1,25.1,36.4
2017-18,Regular+Season,MIA,Miami Heat,81,81,49.0,18.9,41.7,45.3,56.7,19.2,9.4,16.4,57.7,29.8,9.5,25.4,37.3
