SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,BOS,Boston Celtics,81,81,100,39.2,89.3,43.9,48.8,70.8,30.5,63.3,48.3,29.2,8.7,26.0,33.3
2015-16,Regular+Season,CHI,Chicago Bulls,82,82,100,38.6,87.4,44.2,48.7,75.6,30.7,66.0,46.4,24.4,7.9,21.4,37.2
2015-16,Regular+Season,GSW,Golden State Warriors,82,82,100,42.5,87.3,48.7,56.3,63.8,29.4,55.7,52.8,36.2,13.1,31.6,41.6
2015-16,Regular+Season,ORL,Orlando Magic,81,81,100,39.5,86.7,45.5,50.0,74.4,31.7,64.5,49.2,25.6,7.7,22.2,34.9
2015-16,Regular+Season,SAC,Sacramento Kings,81,81,100,40.2,86.5,46.4,51.1,74.1,32.1,64.0,50.1,25.9,8.1,22.4,35.9
2015-16,Regular+Season,DET,Detroit Pistons,82,82,100,37.9,86.4,43.9,49.1,69.7,28.9,60.2,48.0,30.3,9.0,26.2,34.5
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,82,100,41.1,86.4,47.6,52.4,72.5,32.9,62.6,52.4,27.5,8.3,23.7,34.9
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,82,100,38.5,85.8,44.8,49.8,72.3,29.9,62.0,48.2,27.7,8.6,23.8,36.0
2015-16,Regular+Season,WAS,Washington Wizards,82,82,100,39.5,85.8,46.0,51.1,71.8,30.8,61.6,50.1,28.2,8.7,24.2,35.8
2015-16,Regular+Season,POR,Portland Trail Blazers,82,82,100,38.5,85.7,45.0,51.2,66.8,28.0,57.2,49.0,33.2,10.5,28.5,37.0
2015-16,Regular+Season,PHX,Phoenix Suns,82,82,100,37.2,85.6,43.5,48.7,69.8,28.2,59.7,47.2,30.2,9.0,25.8,34.8
2015-16,Regular+Season,DEN,Denver Nuggets,82,82,100,37.7,85.4,44.2,48.9,72.3,29.7,61.7,48.2,27.7,8.0,23.7,33.8
2015-16,Regular+Season,IND,Indiana Pacers,82,82,100,38.3,85.2,45.0,49.7,73.0,30.2,62.1,48.6,27.0,8.1,23.0,35.1
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,82,100,35.1,84.8,41.4,46.0,71.0,27.3,60.2,45.4,29.0,7.8,24.6,31.7
2015-16,Regular+Season,ATL,Atlanta Hawks,82,82,100,38.6,84.4,45.8,51.6,66.4,28.7,56.1,51.2,33.6,9.9,28.4,35.0
2015-16,Regular+Season,CHA,Charlotte Hornets,82,82,100,37.0,84.4,43.9,50.2,65.2,26.4,55.0,47.9,34.8,10.7,29.4,36.2
2015-16,Regular+Season,BKN,Brooklyn Nets,82,82,100,38.2,84.4,45.3,49.1,78.2,31.8,66.0,48.1,21.8,6.5,18.4,35.2
2015-16,Regular+Season,DAL,Dallas Mavericks,82,82,100,37.3,84.1,44.4,50.2,66.1,27.5,55.5,49.5,33.9,9.8,28.5,34.4
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,82,100,36.2,84.0,43.1,48.7,67.3,26.9,56.5,47.6,32.7,9.3,27.5,33.9
2015-16,Regular+Season,NYK,New York Knicks,82,82,100,36.8,84.0,43.9,48.3,74.4,29.4,62.5,47.1,25.6,7.4,21.5,34.6
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,82,100,38.6,83.9,46.0,52.4,64.7,27.9,54.3,51.3,35.3,10.7,29.6,36.3
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,82,100,36.8,83.7,44.0,47.7,77.8,30.7,65.1,47.1,22.2,6.2,18.6,33.1
2015-16,Regular+Season,HOU,Houston Rockets,82,82,100,37.7,83.5,45.2,51.6,63.0,27.0,52.6,51.4,37.0,10.7,30.9,34.7
2015-16,Regular+Season,SAS,San Antonio Spurs,82,82,100,40.1,82.9,48.4,52.6,77.7,33.2,64.4,51.5,22.3,7.0,18.5,37.6
2015-16,Regular+Season,LAC,LA Clippers,82,82,100,38.3,82.4,46.5,52.4,67.6,28.6,55.7,51.3,32.4,9.7,26.7,36.4
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,82,100,38.4,82.2,46.7,49.9,81.1,33.0,66.6,49.5,18.9,5.4,15.6,34.5
2015-16,Regular+Season,MIA,Miami Heat,82,82,100,38.4,81.7,47.0,50.8,77.9,32.3,63.6,50.8,22.1,6.1,18.1,33.6
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,82,100,37.7,81.3,46.4,49.8,79.8,32.2,64.8,49.6,20.2,5.5,16.4,33.8
2015-16,Regular+Season,TOR,Toronto Raptors,81,81,100,36.6,81.2,45.1,50.4,71.3,28.0,57.9,48.4,28.7,8.6,23.4,37.0
2015-16,Regular+Season,UTA,Utah Jazz,82,82,100,36.1,80.4,44.9,50.1,70.3,27.6,56.5,48.8,29.7,8.5,23.9,35.5
2015-16,Playoffs,BOS,Boston Celtics,6,6,100,34.3,89.5,38.4,43.2,64.8,25.7,58.0,44.3,35.2,8.7,31.5,27.5
2015-16,Playoffs,POR,Portland Trail Blazers,11,11,100,37.1,89.1,41.6,48.3,64.9,25.2,57.8,43.6,35.1,11.9,31.3,38.1
2015-16,Playoffs,GSW,Golden State Warriors,24,24,100,38.9,85.6,45.5,52.9,62.1,26.2,53.2,49.2,37.9,12.8,32.4,39.3
2015-16,Playoffs,HOU,Houston Rockets,5,5,100,33.0,85.6,38.6,43.0,66.8,25.4,57.2,44.4,33.2,7.6,28.4,26.8
2015-16,Playoffs,LAC,LA Clippers,6,6,100,37.2,85.0,43.7,47.1,77.1,31.5,65.5,48.1,22.9,5.7,19.5,29.1
2015-16,Playoffs,ATL,Atlanta Hawks,10,10,100,36.6,84.8,43.2,49.4,62.5,26.0,53.0,49.1,37.5,10.6,31.8,33.3
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,18,100,38.2,84.5,45.2,50.1,70.5,29.9,59.6,50.2,29.5,8.3,24.9,33.3
