SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Regular+Season,DET,Detroit Pistons,82,80,6.9,3.3,5.9,55.3,56.1,6.5,3.2,5.7,56.6,0.3,0.1,0.3,30.4
2015-16,Regular+Season,CHI,Chicago Bulls,82,77,5.5,2.5,4.8,52.0,54.1,5.1,2.3,4.5,51.5,0.4,0.2,0.3,59.3
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,77,5.5,2.6,4.7,55.5,56.7,5.1,2.5,4.4,57.3,0.4,0.1,0.3,32.1
2015-16,Regular+Season,SAC,Sacramento Kings,81,76,5.3,2.8,4.6,59.9,61.6,4.9,2.6,4.3,61.3,0.4,0.2,0.4,43.3
2015-16,Regular+Season,BOS,Boston Celtics,81,73,5.0,2.5,4.4,56.1,58.3,4.3,2.3,3.8,59.8,0.7,0.2,0.6,32.7
2015-16,Regular+Season,POR,Portland Trail Blazers,82,77,5.1,2.7,4.4,62.6,65.8,4.4,2.5,3.8,64.4,0.7,0.3,0.6,50.0
2015-16,Regular+Season,PHX,Phoenix Suns,82,71,5.0,2.4,4.3,56.4,58.0,4.5,2.3,3.9,58.5,0.4,0.1,0.4,35.5
2015-16,Regular+Season,DEN,Denver Nuggets,82,79,4.9,2.4,4.2,57.9,60.3,4.4,2.2,3.7,59.0,0.5,0.2,0.4,48.5
2015-16,Regular+Season,HOU,Houston Rockets,82,73,5.0,2.5,4.1,61.4,65.5,4.1,2.2,3.4,64.7,0.9,0.3,0.7,45.9
2015-16,Regular+Season,ORL,Orlando Magic,81,74,4.7,2.4,4.1,58.9,59.8,4.4,2.3,3.8,61.0,0.3,0.1,0.3,28.6
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,75,4.9,2.4,4.0,58.5,58.9,4.6,2.3,3.8,60.9,0.3,0.0,0.2,16.7
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,77,4.6,2.2,3.8,57.8,58.9,4.1,2.1,3.5,61.4,0.4,0.1,0.4,23.3
2015-16,Regular+Season,TOR,Toronto Raptors,81,71,4.7,2.1,3.8,55.0,56.9,4.3,2.0,3.5,56.0,0.4,0.1,0.3,44.4
2015-16,Regular+Season,BKN,Brooklyn Nets,82,70,4.5,2.0,3.8,51.9,53.4,4.2,1.9,3.5,53.1,0.3,0.1,0.3,37.5
2015-16,Regular+Season,NYK,New York Knicks,82,72,4.5,2.2,3.8,57.2,59.0,4.2,2.0,3.5,57.8,0.3,0.1,0.3,50.0
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,71,4.5,2.2,3.8,57.8,58.8,4.2,2.1,3.5,59.9,0.3,0.1,0.3,28.6
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,78,4.5,2.5,3.7,68.6,69.8,4.4,2.5,3.6,68.8,0.2,0.1,0.1,63.6
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,76,4.3,2.0,3.7,55.8,58.0,3.9,1.9,3.3,56.8,0.4,0.2,0.3,46.4
2015-16,Regular+Season,IND,Indiana Pacers,82,75,4.2,2.1,3.6,58.0,60.6,3.6,1.9,3.1,61.8,0.6,0.2,0.5,35.7
2015-16,Regular+Season,MIA,Miami Heat,82,70,4.2,2.2,3.5,63.0,63.9,4.0,2.1,3.3,64.4,0.2,0.1,0.2,35.7
2015-16,Regular+Season,GSW,Golden State Warriors,82,71,4.0,1.7,3.5,49.5,52.5,3.5,1.5,3.0,49.2,0.5,0.2,0.4,51.5
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,73,4.1,1.9,3.4,54.6,57.7,3.3,1.7,2.8,59.1,0.7,0.2,0.6,34.0
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,76,3.9,1.9,3.4,56.4,57.6,3.7,1.8,3.2,57.1,0.2,0.1,0.2,43.8
2015-16,Regular+Season,UTA,Utah Jazz,82,78,4.1,2.0,3.3,60.8,63.0,3.8,1.9,3.0,62.1,0.4,0.1,0.3,48.0
2015-16,Regular+Season,WAS,Washington Wizards,82,73,3.8,1.9,3.3,56.5,58.2,3.4,1.7,2.9,60.3,0.5,0.1,0.4,28.1
2015-16,Regular+Season,LAC,LA Clippers,82,75,3.8,1.6,3.2,49.4,51.4,3.2,1.4,2.7,53.9,0.6,0.1,0.5,25.0
2015-16,Regular+Season,SAS,San Antonio Spurs,82,70,3.8,2.1,3.1,67.8,69.0,3.5,2.0,2.9,70.5,0.3,0.1,0.2,33.3
2015-16,Regular+Season,CHA,Charlotte Hornets,82,72,3.6,1.8,3.1,59.5,62.9,3.0,1.6,2.5,64.3,0.7,0.2,0.6,37.8
2015-16,Regular+Season,DAL,Dallas Mavericks,82,66,3.2,1.3,2.7,50.0,52.5,2.6,1.2,2.2,55.4,0.6,0.1,0.5,26.8
2015-16,Regular+Season,ATL,Atlanta Hawks,82,64,2.7,1.4,2.3,59.3,61.6,2.4,1.3,2.1,60.9,0.3,0.1,0.2,45.0
2015-16,Playoffs,POR,Portland Trail Blazers,11,11,6.3,2.5,5.6,45.2,47.6,5.4,2.3,4.8,47.2,0.9,0.3,0.8,33.3
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,18,5.5,3.1,4.6,66.3,69.3,4.7,2.8,3.9,70.4,0.8,0.3,0.7,41.7
2015-16,Playoffs,LAC,LA Clippers,6,6,5.1,2.8,4.3,65.4,67.3,4.5,2.7,3.8,69.6,0.6,0.2,0.5,33.3
2015-16,Playoffs,BOS,Boston Celtics,6,6,4.8,2.3,4.3,53.8,55.8,4.1,2.2,3.7,59.1,0.7,0.2,0.7,25.0
2015-16,Playoffs,MEM,Memphis Grizzlies,4,4,4.9,2.3,4.0,56.3,56.3,4.9,2.3,4.0,56.3,0.0,0.0,0.0,-
2015-16,Playoffs,TOR,Toronto Raptors,20,19,4.7,2.1,3.9,54.5,56.5,4.3,1.9,3.5,55.7,0.4,0.1,0.3,42.9
2015-16,Playoffs,HOU,Houston Rockets,5,5,4.4,1.8,3.8,47.4,47.4,3.7,1.8,3.2,56.3,0.7,0.0,0.6,0.0
2015-16,Playoffs,GSW,Golden State Warriors,24,24,4.4,2.1,3.8,54.9,57.7,3.8,1.9,3.3,57.0,0.6,0.2,0.5,41.7
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,20,4.5,2.5,3.7,67.9,69.9,4.1,2.4,3.3,71.4,0.5,0.1,0.4,37.5
2015-16,Playoffs,ATL,Atlanta Hawks,10,10,4.2,2.2,3.6,61.1,63.9,3.8,2.0,3.2,62.5,0.5,0.2,0.4,50.0
2015-16,Playoffs,SAS,San Antonio Spurs,10,10,4.4,1.6,3.6,44.4,48.6,3.5,1.3,2.9,44.8,0.8,0.3,0.7,42.9
2015-16,Playoffs,IND,Indiana Pacers,7,6,4.4,2.0,3.3,60.9,67.4,3.8,1.6,2.9,55.0,0.6,0.4,0.4,100
2015-16,Playoffs,DAL,Dallas Mavericks,5,4,3.9,1.6,3.2,50.0,56.3,3.2,1.2,2.6,46.2,0.7,0.4,0.6,66.7
2015-16,Playoffs,MIA,Miami Heat,14,14,3.6,1.7,2.9,60.0,61.3,3.2,1.6,2.6,63.9,0.4,0.1,0.3,25.0
2015-16,Playoffs,CHA,Charlotte Hornets,7,7,2.8,0.4,2.3,18.8,18.8,2.5,0.4,2.0,21.4,0.4,0.0,0.3,0.0
2015-16,Playoffs,DET,Detroit Pistons,4,4,3.0,1.3,2.3,55.6,55.6,2.7,1.3,2.0,62.5,0.3,0.0,0.3,0.0
2016-17,Regular+Season,PHX,Phoenix Suns,80,78,6.5,3.4,5.7,59.3,60.8,5.8,3.2,5.1,62.5,0.6,0.2,0.6,30.4
2016-17,Regular+Season,CHI,Chicago Bulls,82,81,6.2,3.0,5.4,55.6,57.8,5.6,2.8,4.9,57.0,0.6,0.2,0.6,43.5
2016-17,Regular+Season,DET,Detroit Pistons,82,80,5.9,3.0,5.2,56.5,57.7,5.6,2.8,5.0,57.0,0.3,0.1,0.3,47.6
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,82,5.7,3.0,5.0,60.6,62.8,5.0,2.8,4.4,64.2,0.7,0.2,0.6,35.3
2016-17,Regular+Season,NYK,New York Knicks,82,80,5.5,2.6,4.9,53.5,56.5,4.7,2.3,4.2,55.6,0.8,0.3,0.7,41.4
2016-17,Regular+Season,WAS,Washington Wizards,82,81,5.4,2.6,4.7,55.5,59.1,4.6,2.3,4.0,56.2,0.8,0.3,0.7,50.9
