SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2015-16,Playoffs,BOS,Boston Celtics,6,6,59.0,20.3,52.8,38.5,45.6,29.4,12.8,26.3,48.7,29.6,7.5,26.5,28.3
2015-16,Playoffs,GSW,Golden State Warriors,24,24,59.0,23.6,50.5,46.7,57.0,28.9,13.2,24.8,53.4,30.1,10.4,25.8,40.3
2015-16,Playoffs,ATL,Atlanta Hawks,10,10,58.0,21.4,49.2,43.5,52.8,26.4,12.2,22.4,54.5,31.6,9.2,26.8,34.3
2015-16,Playoffs,POR,Portland Trail Blazers,11,11,53.7,21.4,47.8,44.9,53.7,28.9,13.0,25.7,50.5,24.8,8.4,22.1,38.3
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,18,51.2,21.7,43.3,50.1,57.8,29.7,15.0,25.1,59.7,21.5,6.7,18.2,36.7
2015-16,Playoffs,DAL,Dallas Mavericks,5,5,53.0,19.2,43.0,44.7,50.5,33.0,14.2,26.8,53.0,20.0,5.0,16.2,30.9
2015-16,Playoffs,SAS,San Antonio Spurs,10,10,51.2,20.2,42.2,47.9,56.3,32.0,13.1,26.4,49.6,19.2,7.1,15.8,44.9
2015-16,Playoffs,HOU,Houston Rockets,5,5,48.4,17.2,41.4,41.5,48.1,26.6,11.8,22.8,51.8,21.7,5.4,18.6,29.0
2015-16,Playoffs,IND,Indiana Pacers,7,7,55.2,19.9,41.3,48.1,56.4,32.4,13.0,24.3,53.5,22.7,6.9,17.0,40.3
2015-16,Playoffs,MEM,Memphis Grizzlies,4,4,49.2,15.5,40.0,38.8,43.8,32.9,11.5,26.8,43.0,16.3,4.0,13.3,30.2
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,21,47.3,19.5,38.7,50.5,62.4,21.1,10.3,17.3,59.8,26.2,9.2,21.4,43.0
2015-16,Playoffs,TOR,Toronto Raptors,20,20,46.0,15.7,37.4,41.8,48.9,23.7,10.3,19.3,53.6,22.2,5.3,18.1,29.3
2015-16,Playoffs,DET,Detroit Pistons,4,4,49.5,18.8,37.3,50.3,59.7,25.9,11.8,19.5,60.3,23.6,7.0,17.8,39.4
2015-16,Playoffs,MIA,Miami Heat,14,14,43.8,16.1,35.2,45.8,53.7,23.9,10.6,19.2,55.4,19.9,5.5,16.0,34.4
2015-16,Playoffs,LAC,LA Clippers,6,6,41.2,17.0,35.0,48.6,55.5,26.3,12.2,22.3,54.5,14.9,4.8,12.7,38.2
2015-16,Playoffs,CHA,Charlotte Hornets,7,7,40.1,13.1,32.3,40.7,46.5,26.1,9.4,21.0,44.9,14.0,3.7,11.3,32.9
2016-17,Playoffs,BOS,Boston Celtics,18,18,62.1,25.2,52.2,48.2,58.9,28.5,14.1,23.9,58.7,33.6,11.1,28.2,39.4
2016-17,Playoffs,GSW,Golden State Warriors,17,17,58.3,25.8,50.7,50.8,59.9,31.3,16.6,27.2,60.9,27.0,9.2,23.5,39.1
2016-17,Playoffs,WAS,Washington Wizards,13,13,53.5,21.1,46.9,45.2,52.1,29.7,14.7,26.0,56.5,23.8,6.5,20.9,31.0
2016-17,Playoffs,IND,Indiana Pacers,4,4,52.6,20.5,45.8,44.8,52.2,29.9,13.8,26.0,52.9,22.7,6.8,19.8,34.2
2016-17,Playoffs,SAS,San Antonio Spurs,16,16,51.0,21.0,44.2,47.5,55.9,27.7,13.6,24.0,56.8,23.3,7.4,20.2,36.5
2016-17,Playoffs,CHI,Chicago Bulls,6,6,52.7,20.5,43.5,47.1,54.0,30.5,14.5,25.2,57.6,22.2,6.0,18.3,32.7
2016-17,Playoffs,POR,Portland Trail Blazers,4,4,47.8,17.5,42.8,40.9,49.4,22.3,10.3,20.0,51.3,25.4,7.3,22.8,31.9
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,5,48.3,21.0,42.2,49.8,56.6,26.3,15.2,23.0,66.1,22.0,5.8,19.2,30.2
2016-17,Playoffs,MIL,Milwaukee Bucks,6,6,53.3,19.0,41.7,45.6,55.8,28.6,10.5,22.3,47.0,24.7,8.5,19.3,44.0
2016-17,Playoffs,ATL,Atlanta Hawks,6,6,49.3,17.8,41.7,42.8,48.6,26.4,13.0,22.3,58.2,22.9,4.8,19.3,25.0
2016-17,Playoffs,UTA,Utah Jazz,11,11,49.8,20.3,39.0,52.0,61.8,26.8,12.6,21.0,60.2,23.0,7.6,18.0,42.4
2016-17,Playoffs,TOR,Toronto Raptors,10,10,49.1,16.9,39.0,43.3,51.8,24.9,10.3,19.8,52.0,24.2,6.6,19.2,34.4
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,18,46.9,20.2,38.9,51.8,64.4,20.0,10.3,16.6,62.2,26.9,9.8,22.3,44.0
2016-17,Playoffs,HOU,Houston Rockets,11,11,45.3,18.2,38.5,47.2,58.0,18.8,9.8,16.0,61.4,26.5,8.4,22.6,37.1
2016-17,Playoffs,MEM,Memphis Grizzlies,6,6,47.9,16.2,37.0,43.7,53.4,24.0,9.0,18.5,48.6,24.0,7.2,18.5,38.7
2016-17,Playoffs,LAC,LA Clippers,7,7,44.3,17.9,34.1,52.3,61.5,23.9,11.6,18.4,62.8,20.4,6.3,15.7,40.0
2019-20,PlayIn,POR,Portland Trail Blazers,1,1,50.0,15.0,42.0,35.7,42.9,22.6,9.0,19.0,47.4,27.4,6.0,23.0,26.1
2019-20,PlayIn,MEM,Memphis Grizzlies,1,1,40.2,21.0,37.0,56.8,67.6,22.8,13.0,21.0,61.9,17.4,8.0,16.0,50.0
2019-20,IST,NOP,New Orleans Pelicans,1,1,55.9,27.0,57.0,47.4,60.5,25.5,12.0,26.0,46.2,30.4,15.0,31.0,48.4
2019-20,IST,TOR,Toronto Raptors,1,1,53.4,23.0,55.0,41.8,53.6,21.4,10.0,22.0,45.5,32.0,13.0,33.0,39.4
2020-21,PlayIn,IND,Indiana Pacers,2,2,52.7,30.0,54.0,55.6,67.6,24.4,17.0,25.0,68.0,28.3,13.0,29.0,44.8
2020-21,PlayIn,LAL,Los Angeles Lakers,1,1,58.2,25.0,53.0,47.2,55.7,28.6,16.0,26.0,61.5,29.7,9.0,27.0,33.3
2020-21,PlayIn,GSW,Golden State Warriors,2,2,57.6,22.0,51.0,43.1,53.4,26.6,11.5,23.5,48.9,31.1,10.5,27.5,38.2
2020-21,PlayIn,WAS,Washington Wizards,2,2,51.4,24.5,47.5,51.6,58.9,29.2,17.5,27.0,64.8,22.2,7.0,20.5,34.1
