SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,CATCH_SHOOT_PTS,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2015-16,Pre+Season,ATL,Atlanta Hawks,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Bauru Paschoalotto/Bauru,Bauru Paschoalotto/Bauru,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BOS,Boston Celtics,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BKN,Brooklyn Nets,6,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,Charlotte Hornets,8,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHI,Chicago Bulls,8,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,Cleveland Cavaliers,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DAL,Dallas Mavericks,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DEN,Denver Nuggets,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DET,Detroit Pistons,8,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Flamengo Flamengo,Flamengo Flamengo,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,Golden State Warriors,7,229.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,HOU,Houston Rockets,8,243.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,IND,Indiana Pacers,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Istanbul Fenerbahce Sports Club,Istanbul Fenerbahce Sports Club,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,LA Clippers,6,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,234.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIA,Miami Heat,8,243.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,Milano Olimpia Milano,Milano Olimpia Milano,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIL,Milwaukee Bucks,6,240.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIN,Minnesota Timberwolves,7,240.0,0.0,0.0,0.0,-,-,-,-,-
