SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2015-16,Regular+Season,ATL,Atlanta Hawks,82,241.8,48,34,9.1,5.9,33.8,14.1,24.0,59.0
2015-16,Regular+Season,BOS,Boston Celtics,81,241.2,47,34,9.1,4.2,33.3,14.2,22.7,62.3
2015-16,Regular+Season,BKN,Brooklyn Nets,82,240.9,21,61,7.6,4.0,31.9,17.5,27.0,64.7
2015-16,Regular+Season,CHA,Charlotte Hornets,82,242.1,48,34,7.3,5.3,35.0,13.4,21.7,61.8
2015-16,Regular+Season,CHI,Chicago Bulls,82,242.7,42,40,6.0,5.7,35.2,15.3,25.6,59.9
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,242.1,57,25,6.7,3.9,33.9,13.6,22.1,61.7
2015-16,Regular+Season,DAL,Dallas Mavericks,82,244.0,42,40,6.8,3.7,33.9,14.1,22.5,62.8
2015-16,Regular+Season,DEN,Denver Nuggets,82,241.8,33,49,7.4,4.8,33.1,14.9,23.7,62.6
2015-16,Regular+Season,DET,Detroit Pistons,82,242.4,44,38,7.0,3.7,33.9,14.5,23.0,63.1
2015-16,Regular+Season,GSW,Golden State Warriors,82,242.4,73,9,8.4,6.1,36.2,15.1,25.0,60.5
2015-16,Regular+Season,HOU,Houston Rockets,82,241.8,41,41,10.0,5.2,31.7,16.2,25.1,64.4
2015-16,Regular+Season,IND,Indiana Pacers,82,242.4,45,37,9.0,4.8,33.9,14.7,24.0,61.3
2015-16,Regular+Season,LAC,LA Clippers,82,241.8,53,29,8.6,5.6,33.3,13.6,22.5,60.7
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,240.6,17,65,7.2,4.1,32.3,16.8,24.8,67.8
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,241.8,42,40,8.8,4.3,30.5,13.3,21.2,62.5
2015-16,Regular+Season,MIA,Miami Heat,82,241.8,48,34,6.7,6.5,34.3,14.0,23.2,60.2
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,241.8,33,49,8.2,5.8,31.2,16.0,26.1,61.4
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,242.4,29,53,8.0,4.6,31.5,16.8,25.7,65.4
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,241.2,30,52,7.7,4.2,33.1,14.7,22.6,65.2
2015-16,Regular+Season,NYK,New York Knicks,82,241.5,32,50,5.7,5.7,34.0,15.0,25.1,59.9
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,241.8,55,27,7.4,5.9,35.6,16.3,26.8,60.7
2015-16,Regular+Season,ORL,Orlando Magic,81,242.5,35,46,8.3,5.0,33.0,15.6,24.6,63.5
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,241.5,10,72,8.3,6.0,31.8,15.8,25.6,61.8
2015-16,Regular+Season,PHX,Phoenix Suns,82,240.3,23,59,7.7,3.8,33.3,15.3,23.9,64.2
2015-16,Regular+Season,POR,Portland Trail Blazers,82,241.5,44,38,6.9,4.6,33.9,13.3,23.0,58.0
2015-16,Regular+Season,SAC,Sacramento Kings,81,241.5,33,48,9.0,4.5,33.6,15.1,23.7,63.6
2015-16,Regular+Season,SAS,San Antonio Spurs,82,240.3,67,15,8.3,5.9,34.5,13.0,21.9,59.3
2015-16,Regular+Season,TOR,Toronto Raptors,81,240.9,55,26,7.7,5.4,33.2,13.4,22.4,59.9
2015-16,Regular+Season,UTA,Utah Jazz,82,243.4,40,42,7.7,5.2,32.5,13.5,22.6,59.7
2015-16,Regular+Season,WAS,Washington Wizards,82,240.9,41,41,8.6,3.9,32.8,14.1,22.3,63.2
2015-16,Playoffs,ATL,Atlanta Hawks,10,242.5,4,6,7.5,7.6,35.4,14.0,26.8,52.2
2015-16,Playoffs,BOS,Boston Celtics,6,244.2,2,4,6.3,6.5,35.3,15.3,24.3,63.0
2015-16,Playoffs,CHA,Charlotte Hornets,7,240.0,3,4,5.7,3.3,29.7,13.4,19.9,67.6
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,240.0,16,5,7.8,4.2,32.6,12.6,20.5,61.3
2015-16,Playoffs,DAL,Dallas Mavericks,5,240.0,1,4,6.0,2.4,25.8,15.0,22.8,65.8
2015-16,Playoffs,DET,Detroit Pistons,4,240.0,0,4,5.3,3.3,30.8,10.5,17.8,59.2
2015-16,Playoffs,GSW,Golden State Warriors,24,241.0,15,9,8.0,5.5,32.7,14.3,24.6,58.3
2015-16,Playoffs,HOU,Houston Rockets,5,240.0,1,4,8.4,4.2,33.0,15.6,21.6,72.2
2015-16,Playoffs,IND,Indiana Pacers,7,240.0,3,4,7.6,5.6,30.1,13.0,24.1,53.8
2015-16,Playoffs,LAC,LA Clippers,6,240.0,2,4,8.5,4.7,34.8,13.3,22.5,59.3
2015-16,Playoffs,MEM,Memphis Grizzlies,4,240.0,0,4,7.8,4.0,27.3,12.8,19.8,64.6
2015-16,Playoffs,MIA,Miami Heat,14,245.4,7,7,5.4,5.9,35.1,12.8,22.4,57.2
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,240.0,11,7,7.7,5.4,34.4,14.3,24.8,57.6
2015-16,Playoffs,POR,Portland Trail Blazers,11,242.3,5,6,6.2,3.9,34.7,14.2,21.5,66.1
2015-16,Playoffs,SAS,San Antonio Spurs,10,240.0,6,4,9.1,7.0,31.6,14.7,25.5,57.6
2015-16,Playoffs,TOR,Toronto Raptors,20,243.8,10,10,7.5,3.7,29.6,13.5,21.3,63.3
2016-17,Regular+Season,ATL,Atlanta Hawks,82,242.4,43,39,8.2,4.8,34.1,12.8,21.1,60.8
2016-17,Regular+Season,BOS,Boston Celtics,82,240.9,53,29,7.5,4.1,32.9,14.3,23.0,62.2
2016-17,Regular+Season,BKN,Brooklyn Nets,81,240.9,20,61,7.2,4.7,35.1,15.3,23.9,63.9
2016-17,Regular+Season,CHA,Charlotte Hornets,82,241.8,36,46,7.0,4.8,34.8,13.9,21.9,63.6
2016-17,Regular+Season,CHI,Chicago Bulls,82,241.2,41,41,7.8,4.8,34.1,16.0,26.0,61.7
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,242.4,51,31,6.6,4.0,34.4,15.7,24.9,63.1
2016-17,Regular+Season,DAL,Dallas Mavericks,81,241.2,32,49,7.4,3.7,30.8,13.9,20.7,67.0
2016-17,Regular+Season,DEN,Denver Nuggets,81,240.9,39,42,6.9,3.9,34.6,15.5,24.0,64.5
