SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ
2024-25,Regular+Season,ATL,Atlanta Hawks,82,40,42,230.8,32.6,7.7,23.5,53.1,61.4,4.7,67.4
2024-25,Regular+Season,BOS,Boston Celtics,82,61,21,233.1,33.7,8.7,25.8,56.2,59.9,5.4,66.2
2024-25,Regular+Season,BKN,Brooklyn Nets,82,26,56,233.8,30.4,7.6,24.9,50.9,59.8,5.1,66.4
2024-25,Regular+Season,CHA,Charlotte Hornets,82,19,63,228.8,33.0,7.8,23.8,54.7,60.2,5.4,66.8
2024-25,Regular+Season,CHI,Chicago Bulls,82,39,43,230.2,35.8,8.8,24.5,58.3,61.4,5.4,67.7
2024-25,Regular+Season,CLE,Cleveland Cavaliers,82,64,18,228.6,34.2,8.9,26.1,57.0,60.1,5.5,66.5
2024-25,Regular+Season,DAL,Dallas Mavericks,82,39,43,230.5,32.9,8.3,25.1,55.9,58.9,5.8,65.7
2024-25,Regular+Season,DEN,Denver Nuggets,81,50,31,232.7,34.6,9.1,26.2,55.7,62.2,5.4,68.9
2024-25,Regular+Season,DET,Detroit Pistons,82,44,38,227.1,33.4,7.8,23.3,55.1,60.6,5.5,67.2
2024-25,Regular+Season,GSW,Golden State Warriors,82,48,34,233.3,32.8,8.2,25.0,54.9,59.8,5.4,66.3
2024-25,Regular+Season,HOU,Houston Rockets,82,52,30,231.3,33.8,8.6,25.5,55.2,61.3,4.9,67.3
2024-25,Regular+Season,IND,Indiana Pacers,82,50,32,232.5,32.6,7.5,22.9,54.7,59.6,5.4,66.1
2024-25,Regular+Season,LAC,LA Clippers,82,50,32,229.2,33.5,8.8,26.1,53.7,62.4,4.8,68.5
2024-25,Regular+Season,LAL,Los Angeles Lakers,82,50,32,226.2,32.8,8.6,26.2,54.0,60.7,4.9,66.7
2024-25,Regular+Season,MEM,Memphis Grizzlies,81,48,33,230.6,34.3,7.0,20.3,58.7,58.4,5.8,64.8
2024-25,Regular+Season,MIA,Miami Heat,82,37,45,232.4,33.7,8.2,24.3,54.7,61.5,5.5,68.4
2024-25,Regular+Season,MIL,Milwaukee Bucks,82,48,34,228.9,35.1,7.9,22.4,55.4,63.5,4.9,69.6
2024-25,Regular+Season,MIN,Minnesota Timberwolves,82,49,33,229.4,33.2,8.0,24.2,54.6,60.9,5.3,67.5
2024-25,Regular+Season,NOP,New Orleans Pelicans,82,21,61,232.0,31.5,7.2,22.9,53.8,58.5,5.2,64.8
2024-25,Regular+Season,NYK,New York Knicks,81,50,31,230.1,31.9,8.7,27.4,52.2,61.0,4.9,67.3
2024-25,Regular+Season,OKC,Oklahoma City Thunder,82,68,14,230.4,34.1,9.3,27.3,57.7,59.1,5.6,65.5
2024-25,Regular+Season,ORL,Orlando Magic,82,41,41,227.0,30.7,7.5,24.3,50.7,60.5,5.2,67.4
2024-25,Regular+Season,PHI,Philadelphia 76ers,82,24,58,229.2,29.4,7.0,23.7,50.9,57.8,4.7,63.7
2024-25,Regular+Season,PHX,Phoenix Suns,82,36,46,231.2,32.9,8.0,24.4,53.3,61.8,4.6,67.7
2024-25,Regular+Season,POR,Portland Trail Blazers,82,36,46,233.1,31.4,7.5,23.9,53.1,59.2,4.7,64.9
2024-25,Regular+Season,SAC,Sacramento Kings,82,40,42,229.3,33.2,7.9,23.8,53.1,62.5,5.2,69.3
2024-25,Regular+Season,SAS,San Antonio Spurs,82,34,48,228.0,32.7,8.3,25.2,54.7,59.8,5.7,66.7
2024-25,Regular+Season,TOR,Toronto Raptors,82,30,52,228.1,32.5,7.4,22.7,53.8,60.5,5.0,66.7
2024-25,Regular+Season,UTA,Utah Jazz,82,17,65,232.2,33.4,7.7,23.0,55.4,60.4,5.5,67.0
2024-25,Regular+Season,WAS,Washington Wizards,82,18,64,232.6,33.1,7.8,23.6,55.3,59.9,5.2,66.1
2025-26,Regular+Season,ATL,Atlanta Hawks,39,18,21,227.6,32.1,8.8,27.5,52.9,60.5,4.5,66.1
