SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,241.8,42.9,7.2,16.4,43.9,4.5,5.7,78.0,19.4,45.2,15.5,36.2,4.1,9.5,3.2,7.4,2.9,6.8
2015-16,Regular+Season,BOS,Boston Celtics,81,47,34,241.2,37.7,7.3,16.9,43.1,4.8,5.9,81.0,19.9,52.7,11.0,29.2,3.5,9.2,2.4,6.4,3.0,8.0
2015-16,Regular+Season,BKN,Brooklyn Nets,82,21,61,240.9,35.9,6.2,14.0,44.1,3.3,4.4,75.8,16.0,44.6,12.6,35.1,4.1,11.3,2.4,6.6,2.2,6.1
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,242.1,37.7,6.7,15.5,43.3,4.7,5.9,79.5,18.6,49.3,12.4,32.9,3.3,8.8,2.7,7.2,3.0,7.9
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,242.7,39.0,7.9,18.3,43.2,3.8,4.8,79.7,20.2,51.7,11.5,29.5,3.2,8.3,2.7,7.0,2.4,6.3
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,242.1,35.3,6.9,15.5,44.2,3.5,4.6,76.2,17.6,49.9,11.1,31.4,3.4,9.5,2.2,6.2,2.3,6.6
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,244.0,39.7,7.5,16.3,46.3,3.4,4.4,76.9,18.8,47.4,13.9,34.9,4.1,10.4,2.5,6.3,2.3,5.7
2015-16,Regular+Season,DEN,Denver Nuggets,82,33,49,241.8,40.1,5.9,15.1,39.0,4.4,5.6,77.9,16.5,41.1,14.1,35.0,4.4,10.9,2.8,7.1,2.9,7.1
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,242.4,38.3,7.6,17.3,44.2,3.8,4.9,76.5,19.6,51.4,11.7,30.6,3.3,8.7,2.9,7.6,2.5,6.6
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,242.4,26.3,5.9,12.1,48.6,3.2,4.1,78.4,15.6,59.2,7.5,28.3,2.4,9.3,1.8,6.8,2.1,8.0
