SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,229.5,8.3,5.0,61.0,24.0,34.5,0.6,35.3
2015-16,Regular+Season,BOS,Boston Celtics,81,47,34,232.4,11.6,6.7,57.8,31.8,36.6,1.0,37.8
2015-16,Regular+Season,BKN,Brooklyn Nets,82,21,61,227.1,10.5,6.4,60.4,28.3,37.2,1.0,38.6
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,233.6,8.9,5.0,56.5,25.4,35.2,0.9,36.4
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,231.1,11.0,6.7,60.3,30.1,36.8,0.9,37.9
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,226.6,10.6,6.3,59.5,28.4,37.4,0.8,38.5
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,231.9,9.2,5.4,59.3,25.0,36.7,1.0,38.1
2015-16,Regular+Season,DEN,Denver Nuggets,82,33,49,232.1,11.5,6.8,59.3,31.5,36.4,0.7,37.2
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,232.7,12.4,7.6,60.9,29.9,41.5,0.6,42.4
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,232.8,10.0,5.9,59.2,26.2,38.0,0.7,39.0
2015-16,Regular+Season,HOU,Houston Rockets,82,41,41,225.3,11.3,6.9,61.2,29.8,38.1,0.8,39.1
2015-16,Regular+Season,IND,Indiana Pacers,82,45,37,232.6,10.3,6.0,57.9,27.3,37.9,0.7,38.9
2015-16,Regular+Season,LAC,LA Clippers,82,53,29,222.5,8.8,4.9,55.8,22.1,39.7,0.9,41.4
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,17,65,229.8,10.7,6.1,56.9,31.5,33.9,1.0,35.1
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,42,40,230.5,11.2,6.9,62.1,29.9,37.3,1.0,38.6
2015-16,Regular+Season,MIA,Miami Heat,82,48,34,234.4,9.8,6.1,62.2,26.4,37.3,0.7,38.3
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,33,49,230.3,10.5,6.3,60.5,28.0,37.4,1.0,38.7
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,29,53,224.2,10.0,5.9,59.3,26.6,37.7,0.8,38.8
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,30,52,230.7,9.5,5.6,59.4,25.1,37.9,0.5,38.7
2015-16,Regular+Season,NYK,New York Knicks,82,32,50,231.2,10.4,6.4,61.4,26.6,39.0,0.7,40.1
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,55,27,226.8,13.1,8.1,61.9,32.8,39.8,1.1,41.1
2015-16,Regular+Season,ORL,Orlando Magic,81,35,46,230.1,10.3,5.9,57.0,27.2,37.9,0.8,39.0
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,10,72,229.7,9.5,5.3,56.2,26.5,35.7,0.8,36.8
2015-16,Regular+Season,PHX,Phoenix Suns,82,23,59,225.6,11.5,6.5,56.9,31.5,36.5,1.2,37.9
2015-16,Regular+Season,POR,Portland Trail Blazers,82,44,38,231.9,11.6,6.5,56.6,31.4,36.8,1.0,38.1
2015-16,Regular+Season,SAC,Sacramento Kings,81,33,48,228.2,10.6,6.0,56.5,29.4,36.1,1.0,37.3
2015-16,Regular+Season,SAS,San Antonio Spurs,82,67,15,223.8,9.4,5.4,57.7,23.2,40.3,0.7,41.6
2015-16,Regular+Season,TOR,Toronto Raptors,81,55,26,232.1,10.2,6.4,62.5,29.3,34.8,0.7,35.6
2015-16,Regular+Season,UTA,Utah Jazz,82,40,42,230.1,10.7,6.4,59.3,29.2,36.7,0.9,37.9
2015-16,Regular+Season,WAS,Washington Wizards,82,41,41,231.6,9.0,5.0,55.5,26.2,34.5,0.9,35.7
2015-16,Playoffs,ATL,Atlanta Hawks,10,4,6,232.6,8.9,5.3,59.6,25.4,35.0,0.5,35.7
2015-16,Playoffs,BOS,Boston Celtics,6,2,4,237.8,10.7,5.7,53.1,33.5,31.8,0.8,32.7
2015-16,Playoffs,CHA,Charlotte Hornets,7,3,4,232.5,7.1,4.0,56.0,28.4,25.1,0.4,25.5
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,16,5,224.4,10.7,6.8,63.8,29.4,36.2,0.9,37.3
2015-16,Playoffs,DAL,Dallas Mavericks,5,1,4,237.5,9.2,4.6,50.0,31.2,29.5,1.2,30.7
2015-16,Playoffs,DET,Detroit Pistons,4,0,4,231.5,7.0,4.5,64.3,16.3,43.1,0.3,43.8
2015-16,Playoffs,GSW,Golden State Warriors,24,15,9,232.5,10.5,5.6,53.2,27.4,38.4,0.8,39.5
2015-16,Playoffs,HOU,Houston Rockets,5,1,4,227.4,14.4,8.8,61.1,39.6,36.4,1.4,37.7
2015-16,Playoffs,IND,Indiana Pacers,7,3,4,232.1,9.1,6.0,65.6,25.0,36.6,1.1,38.3
2015-16,Playoffs,LAC,LA Clippers,6,2,4,220.3,11.3,6.2,54.4,25.0,45.3,1.3,47.9
2015-16,Playoffs,MEM,Memphis Grizzlies,4,0,4,232.3,13.8,9.8,70.9,37.0,37.2,1.5,38.7
2015-16,Playoffs,MIA,Miami Heat,14,7,7,240.1,9.1,6.4,70.1,26.1,34.7,1.1,36.3
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,11,7,227.9,12.5,7.4,59.1,33.0,37.9,0.9,39.0
2015-16,Playoffs,POR,Portland Trail Blazers,11,5,6,232.3,12.9,7.0,54.2,34.5,37.4,1.5,39.0
2015-16,Playoffs,SAS,San Antonio Spurs,10,6,4,225.6,7.9,4.2,53.2,25.1,31.5,0.5,32.1
2015-16,Playoffs,TOR,Toronto Raptors,20,10,10,231.4,10.8,6.1,56.0,33.9,31.9,1.0,32.9
2016-17,Regular+Season,ATL,Atlanta Hawks,82,43,39,230.9,10.3,5.9,57.7,29.8,34.4,0.6,35.1
2016-17,Regular+Season,BOS,Boston Celtics,82,53,29,233.5,9.0,5.1,55.9,29.0,31.2,0.8,32.0
2016-17,Regular+Season,BKN,Brooklyn Nets,81,20,61,231.7,8.7,5.4,62.1,27.2,32.1,0.7,32.9
2016-17,Regular+Season,CHA,Charlotte Hornets,82,36,46,232.8,8.8,5.1,58.1,26.4,33.3,0.9,34.4
2016-17,Regular+Season,CHI,Chicago Bulls,82,41,41,232.4,12.2,7.3,60.2,33.5,36.3,0.9,37.3
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,51,31,227.5,9.3,5.5,58.7,26.3,35.5,0.9,36.7
2016-17,Regular+Season,DAL,Dallas Mavericks,81,32,49,228.2,7.9,3.9,49.9,22.0,35.7,0.8,37.1
2016-17,Regular+Season,DEN,Denver Nuggets,81,39,42,233.3,11.8,7.5,63.9,30.8,38.2,1.0,39.5
2016-17,Regular+Season,DET,Detroit Pistons,82,37,45,230.8,11.1,7.1,63.9,28.3,39.1,0.7,40.1
2016-17,Regular+Season,GSW,Golden State Warriors,82,67,15,229.1,9.4,5.1,54.2,25.5,36.8,1.0,38.3
2016-17,Regular+Season,HOU,Houston Rockets,82,55,27,234.1,10.9,6.2,56.6,29.6,36.7,0.8,37.7
2016-17,Regular+Season,IND,Indiana Pacers,81,42,39,232.8,9.0,5.1,57.0,25.5,35.3,0.8,36.5
2016-17,Regular+Season,LAC,LA Clippers,82,51,31,223.5,9.0,5.4,60.4,23.0,39.1,0.6,40.3
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,26,56,228.3,11.4,6.5,57.3,32.1,35.4,1.1,36.7
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,43,39,230.8,10.8,6.6,61.3,29.4,36.8,0.9,37.9
2016-17,Regular+Season,MIA,Miami Heat,82,41,41,233.5,10.6,6.3,59.5,30.5,34.8,1.0,36.0
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,42,40,224.6,8.8,5.4,61.7,24.2,36.5,0.7,37.5
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,31,51,229.8,11.4,6.9,60.0,30.5,37.4,1.0,38.6
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,34,48,230.0,8.6,5.0,58.3,22.9,37.4,0.7,38.6
2016-17,Regular+Season,NYK,New York Knicks,82,31,51,231.4,12.0,7.0,58.5,31.0,38.7,0.9,39.9
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,47,35,226.2,12.2,7.4,60.5,34.7,35.2,0.9,36.2
2016-17,Regular+Season,ORL,Orlando Magic,82,29,53,225.9,9.8,5.6,57.4,26.1,37.7,0.7,38.8
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,28,54,229.9,9.8,5.6,56.6,29.5,33.3,0.9,34.4
2016-17,Regular+Season,PHX,Phoenix Suns,80,23,57,228.5,11.8,6.9,58.2,32.7,36.1,1.1,37.4
2016-17,Regular+Season,POR,Portland Trail Blazers,82,41,41,235.0,10.1,6.0,59.3,29.8,34.0,0.9,35.1
2016-17,Regular+Season,SAC,Sacramento Kings,82,32,50,228.2,8.7,4.7,54.0,26.0,33.6,0.7,34.5
2016-17,Regular+Season,SAS,San Antonio Spurs,81,61,20,223.9,10.1,6.2,61.7,26.8,37.5,0.8,38.7
2016-17,Regular+Season,TOR,Toronto Raptors,81,50,31,232.4,10.6,6.5,61.8,29.8,35.6,1.0,36.8
2016-17,Regular+Season,UTA,Utah Jazz,82,51,31,230.9,9.4,5.7,60.8,24.6,38.3,0.6,39.2
2016-17,Regular+Season,WAS,Washington Wizards,82,49,33,228.3,10.3,5.5,53.8,29.8,34.4,1.3,36.0
2016-17,Playoffs,ATL,Atlanta Hawks,6,2,4,234.2,11.3,6.3,55.9,35.0,32.4,1.2,33.5
2016-17,Playoffs,BOS,Boston Celtics,18,9,9,227.8,9.4,5.4,57.4,26.7,35.2,0.6,36.0
2016-17,Playoffs,CHI,Chicago Bulls,6,2,4,227.3,12.5,8.5,68.0,30.0,41.7,0.7,42.6
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,13,5,220.1,9.2,5.3,57.2,25.8,35.7,0.8,36.8
2016-17,Playoffs,GSW,Golden State Warriors,17,16,1,231.6,9.2,4.9,53.5,24.7,37.4,0.7,38.5
2016-17,Playoffs,HOU,Houston Rockets,11,6,5,233.4,9.9,5.4,54.1,32.9,30.1,0.7,30.8
