SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
2015-16,Regular+Season,ATL,Atlanta Hawks,82,48,34,241.8,442.7,25.9,8.0,12.8,62.2,2.4,3.0,78.4,18.7,72.3,9.4,36.4,1.6,6.1,1.3,4.9,1.4,5.3
2015-16,Regular+Season,BOS,Boston Celtics,81,47,34,241.2,439.4,25.8,8.7,14.8,58.4,3.1,4.3,72.5,20.7,80.3,6.9,26.6,0.9,3.3,1.2,4.5,2.0,7.6
2015-16,Regular+Season,BKN,Brooklyn Nets,82,21,61,240.9,409.9,24.9,8.3,14.3,57.9,2.7,4.0,67.0,19.7,79.1,6.3,25.4,1.0,3.8,1.3,5.3,1.8,7.3
2015-16,Regular+Season,CHA,Charlotte Hornets,82,48,34,242.1,414.1,19.8,6.4,10.7,60.0,2.7,3.5,76.8,15.8,80.1,5.9,29.7,0.9,4.6,0.8,4.3,1.6,8.3
2015-16,Regular+Season,CHI,Chicago Bulls,82,42,40,242.7,428.5,25.6,8.0,14.2,56.3,2.9,3.8,76.0,19.3,75.1,7.3,28.5,1.3,4.9,1.5,5.7,1.7,6.5
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,57,25,242.1,414.8,25.1,7.7,12.8,60.3,2.8,4.0,70.4,18.8,75.0,7.4,29.6,1.0,3.9,1.4,5.7,1.8,7.1
2015-16,Regular+Season,DAL,Dallas Mavericks,82,42,40,244.0,449.6,21.7,6.7,10.7,62.7,2.9,3.9,74.7,16.7,76.9,6.9,31.6,1.0,4.4,1.2,5.5,1.8,8.5
2015-16,Regular+Season,DEN,Denver Nuggets,82,33,49,241.8,411.1,28.9,10.1,17.1,59.0,3.5,4.8,72.2,24.1,83.4,7.1,24.5,0.9,3.2,1.5,5.4,2.2,7.6
2015-16,Regular+Season,DET,Detroit Pistons,82,44,38,242.4,384.2,27.3,9.3,16.6,56.4,3.0,5.2,57.5,21.9,80.4,6.2,22.6,0.6,2.3,1.4,5.1,2.4,8.9
2015-16,Regular+Season,GSW,Golden State Warriors,82,73,9,242.4,446.4,27.6,9.4,15.6,60.3,2.7,4.1,66.1,21.9,79.5,7.7,27.8,1.5,5.4,1.3,4.7,1.9,6.8
2015-16,Regular+Season,HOU,Houston Rockets,82,41,41,241.8,409.4,27.6,9.1,14.9,61.0,2.9,5.3,54.5,21.4,77.5,7.5,27.1,1.1,4.0,1.6,5.7,2.4,8.7
2015-16,Regular+Season,IND,Indiana Pacers,82,45,37,242.4,425.4,25.8,8.6,13.9,61.4,2.8,4.0,70.4,20.4,78.9,7.8,30.0,1.1,4.1,1.4,5.6,1.8,6.8
2015-16,Regular+Season,LAC,LA Clippers,82,53,29,241.8,405.6,22.5,8.0,12.2,65.4,2.5,4.2,58.7,18.7,83.2,6.0,26.9,0.6,2.5,1.2,5.5,1.8,8.2
