SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PERC,AST_TO_PASS_PERC_ADJ
2015-16,regular-season,-,48,34,241.8,324.6,324.6,25.6,3.8,51.2,63.3,31.2,7.9,9.6,0
2015-16,regular-season,-,47,34,241.2,316.7,316.7,24.0,2.6,50.9,60.0,29.2,7.6,9.2,0
2015-16,regular-season,-,21,61,240.9,291.7,291.7,22.3,2.9,46.7,53.7,27.3,7.6,9.4,0
2015-16,regular-season,-,48,34,242.1,296.5,296.4,21.7,3.0,47.3,57.2,27.2,7.3,9.2,0
2015-16,regular-season,-,42,40,242.7,307.7,307.7,22.8,3.3,46.3,56.5,28.2,7.4,9.2,0
2015-16,regular-season,-,57,25,242.1,296.1,296.1,22.7,3.7,44.4,58.6,28.6,7.7,9.7,0
2015-16,regular-season,-,42,40,244.0,330.0,330.0,22.1,2.9,48.0,56.7,27.4,6.7,8.3,0
2015-16,regular-season,-,33,49,241.8,290.2,290.2,22.7,2.6,46.8,56.2,27.9,7.8,9.6,0
2015-16,regular-season,-,44,38,242.4,263.3,263.3,19.4,2.4,41.7,49.8,24.4,7.4,9.3,0
2015-16,regular-season,-,73,9,242.4,323.5,323.5,28.9,4.1,54.2,72.9,35.7,8.9,11.0,0
2015-16,regular-season,-,41,41,241.8,287.3,287.3,22.2,2.6,46.4,56.9,27.5,7.7,9.6,0
2015-16,regular-season,-,45,37,242.4,303.8,303.8,21.2,2.7,48.0,53.8,26.9,7.0,8.8,0
2015-16,regular-season,-,53,29,241.8,287.6,287.6,22.8,2.8,45.8,56.9,28.1,7.9,9.8,0
2015-16,regular-season,-,17,65,240.6,274.0,274.0,18.0,1.7,38.7,45.5,21.7,6.6,7.9,0
2015-16,regular-season,-,42,40,241.8,306.4,306.4,20.7,2.8,43.9,50.5,25.8,6.8,8.4,0
2015-16,regular-season,-,48,34,241.8,297.9,297.9,20.8,2.6,43.2,51.3,25.8,7.0,8.6,0
2015-16,regular-season,-,33,49,241.8,289.4,289.4,23.1,3.0,44.8,55.3,28.7,8.0,9.9,0
2015-16,regular-season,-,29,53,242.4,281.4,281.4,23.4,2.8,47.3,56.8,29.1,8.3,10.3,0
2015-16,regular-season,-,30,52,241.2,292.5,292.5,22.2,2.2,43.1,55.5,26.9,7.6,9.2,0
2015-16,regular-season,-,32,50,241.5,341.6,341.6,20.5,2.8,46.8,51.5,25.6,6.0,7.5,0
2015-16,regular-season,-,55,27,241.8,256.6,256.6,23.0,2.0,46.9,56.4,27.5,8.9,10.7,0
2015-16,regular-season,-,35,46,242.5,305.7,305.7,23.5,2.5,49.1,57.0,27.8,7.7,9.1,0
2015-16,regular-season,-,10,72,241.5,329.3,329.3,21.5,2.1,47.0,55.2,26.1,6.5,7.9,0
2015-16,regular-season,-,23,59,240.3,310.4,310.4,20.7,2.7,47.3,52.4,25.5,6.7,8.2,0
2015-16,regular-season,-,44,38,241.5,281.8,281.8,21.3,2.5,45.3,54.7,26.4,7.6,9.4,0
2015-16,regular-season,-,33,48,241.5,283.3,283.3,24.5,2.7,50.3,60.4,29.9,8.7,10.5,0
2015-16,regular-season,-,67,15,240.3,328.6,328.6,24.5,3.9,46.0,58.9,30.2,7.5,9.2,0
2015-16,regular-season,-,55,26,240.9,303.4,303.4,18.7,2.2,38.9,48.1,22.8,6.2,7.5,0
2015-16,regular-season,-,40,42,243.4,352.3,352.3,19.0,2.4,44.3,48.9,24.0,5.4,6.8,0
2015-16,regular-season,-,41,41,240.9,294.7,294.7,24.5,2.8,50.1,61.1,29.9,8.3,10.2,0
2015-16,playoffs,-,4,6,242.5,321.3,321.3,22.6,3.5,47.4,57.2,27.4,7.0,8.5,0
2015-16,playoffs,-,2,4,244.2,332.5,332.5,21.0,3.3,49.5,53.0,26.0,6.3,7.8,0
