SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2015-16,regular-season,-,48,34,241.8,442.7,11.6,2.1,4.6,44.7,1.2,1.5,83.6,5.5,47.5,3.9,34.0,0.9,8.0,0.8,7.1,0.7,6.4,0
2015-16,regular-season,-,47,34,241.2,439.4,9.3,1.8,4.8,38.1,0.8,1.1,73.3,4.5,48.9,2.3,24.9,0.5,5.2,0.6,6.9,0.6,6.3,0
2015-16,regular-season,-,21,61,240.9,409.9,18.4,3.8,8.1,46.8,1.7,2.1,77.8,9.5,51.6,5.7,31.2,1.2,6.5,1.5,8.0,1.1,6.0,0
2015-16,regular-season,-,48,34,242.1,414.1,12.4,2.5,5.7,43.6,0.9,1.3,67.9,6.1,48.9,3.9,31.8,1.1,8.6,0.6,4.8,0.7,5.4,0
2015-16,regular-season,-,42,40,242.7,428.5,17.0,2.9,7.2,39.7,1.3,1.8,71.9,7.2,42.2,5.7,33.7,1.4,8.0,1.1,6.7,0.9,5.5,0
2015-16,regular-season,-,57,25,242.1,414.8,12.5,2.8,6.0,46.5,1.3,1.6,79.2,7.0,56.2,3.2,26.0,0.8,6.7,0.9,6.8,0.8,6.6,0
2015-16,regular-season,-,42,40,244.0,449.6,13.3,2.8,6.1,45.9,1.4,1.6,87.1,7.2,53.9,4.5,33.6,0.6,4.7,0.7,5.6,0.8,6.1,0
2015-16,regular-season,-,33,49,241.8,411.1,11.4,2.5,5.7,42.9,1.1,1.5,72.6,6.1,53.3,2.8,24.8,0.8,6.8,0.8,7.4,0.8,6.7,0
2015-16,regular-season,-,44,38,242.4,384.2,13.3,3.1,7.5,41.7,1.0,1.8,59.3,7.4,55.6,2.6,19.4,0.7,5.4,0.9,7.1,0.9,6.7,0
2015-16,regular-season,-,73,9,242.4,446.4,16.6,2.3,5.3,44.3,0.9,1.3,65.5,5.7,34.2,6.9,41.2,2.1,12.6,1.0,6.1,0.7,4.1,0
2015-16,regular-season,-,41,41,241.8,409.4,10.1,1.9,4.5,42.9,0.7,1.2,59.0,4.7,46.2,3.2,31.7,0.5,5.0,0.8,7.5,0.6,6.3,0
2015-16,regular-season,-,45,37,242.4,425.4,13.1,2.3,5.5,42.5,0.8,1.0,73.3,5.5,42.2,4.5,34.6,1.0,7.7,1.0,7.6,0.5,4.1,0
2015-16,regular-season,-,53,29,241.8,405.6,8.6,1.3,3.2,41.7,0.5,0.9,62.0,3.2,36.8,3.2,37.3,0.8,9.8,0.4,5.0,0.5,5.2,0
2015-16,regular-season,-,17,65,240.6,392.7,12.3,2.0,5.6,36.6,1.3,1.6,79.3,5.5,45.0,4.0,32.9,0.7,5.9,0.8,6.3,0.8,6.8,0
2015-16,regular-season,-,42,40,241.8,425.0,24.9,4.8,11.1,43.2,2.2,2.7,80.8,12.0,48.3,8.0,32.1,1.8,7.1,1.5,6.0,1.4,5.6,0
2015-16,regular-season,-,48,34,241.8,415.2,13.0,2.8,6.2,44.9,1.1,1.4,78.1,6.8,52.3,3.5,26.9,0.8,6.1,1.1,8.4,0.7,5.4,0
2015-16,regular-season,-,33,49,241.8,407.7,16.8,3.4,7.6,44.4,1.4,1.9,75.5,8.3,49.4,5.1,30.6,1.2,7.1,1.2,7.4,1.0,5.8,0
2015-16,regular-season,-,29,53,242.4,400.9,15.4,3.6,8.2,44.5,2.1,2.6,80.7,9.6,62.1,3.6,23.3,0.7,4.3,1.0,6.7,1.3,8.7,0
2015-16,regular-season,-,30,52,241.2,412.5,11.2,2.3,5.9,40.0,1.3,1.6,80.3,6.1,54.5,2.8,25.3,0.4,3.7,0.9,7.6,0.8,7.5,0
2015-16,regular-season,-,32,50,241.5,458.0,27.7,5.2,11.9,44.0,2.4,2.8,83.9,13.2,47.7,9.6,34.5,2.2,7.9,1.7,6.3,1.4,5.1,0
2015-16,regular-season,-,55,27,241.8,380.6,9.2,2.2,4.2,52.0,1.1,1.4,78.9,5.6,60.7,2.6,28.6,0.6,6.9,0.7,7.3,0.7,7.7,0
2015-16,regular-season,-,35,46,242.5,425.1,14.2,3.2,6.6,48.2,0.7,0.9,77.8,7.1,49.9,5.0,35.6,1.0,6.9,0.8,5.7,0.4,3.1,0
2015-16,regular-season,-,10,72,241.5,450.4,12.5,2.3,4.9,46.9,1.2,1.8,70.8,5.9,47.1,4.1,33.0,0.9,6.8,1.2,9.4,0.9,7.0,0
2015-16,regular-season,-,23,59,240.3,435.4,14.2,2.3,6.2,37.9,1.7,2.3,73.3,6.5,45.9,4.0,28.6,0.9,6.1,1.3,9.1,1.2,8.3,0
2015-16,regular-season,-,44,38,241.5,401.8,5.5,0.8,2.1,40.6,0.5,0.7,68.5,2.1,39.0,2.0,36.1,0.5,9.1,0.4,8.0,0.3,6.0,0
2015-16,regular-season,-,33,48,241.5,406.5,12.9,2.4,5.3,45.5,1.2,1.8,67.8,6.2,47.7,4.4,34.1,0.8,6.2,0.9,7.3,0.9,7.2,0
2015-16,regular-season,-,67,15,240.3,444.1,22.4,5.1,10.4,48.9,2.3,3.0,77.9,12.8,57.3,6.5,28.9,1.7,7.5,1.3,6.0,1.5,6.7,0
2015-16,regular-season,-,55,26,240.9,420.9,8.3,1.8,4.0,43.9,0.7,0.9,78.4,4.4,53.0,2.3,28.4,0.3,3.4,0.6,7.6,0.5,5.7,0
2015-16,regular-season,-,40,42,243.4,468.5,7.7,1.4,3.1,44.3,0.4,0.6,71.7,3.2,41.5,2.8,36.3,0.5,6.3,0.6,7.3,0.3,4.3,0
2015-16,regular-season,-,41,41,240.9,414.8,10.5,2.1,4.6,46.1,0.8,1.3,58.5,5.0,48.0,3.4,32.1,0.5,5.2,0.8,7.6,0.7,6.5,0
2015-16,playoffs,-,4,6,242.5,439.2,14.2,3.0,5.8,51.7,1.6,2.0,80.0,7.8,54.9,4.7,33.1,1.2,8.5,0.8,5.6,1.0,7.0,0
2015-16,playoffs,-,2,4,244.2,456.7,8.7,1.2,3.5,33.3,0.2,0.3,50.0,2.5,28.8,3.2,36.5,0.3,3.8,1.2,13.5,0.2,1.9,0
2015-16,playoffs,-,3,4,240.0,365.4,14.3,3.6,8.4,42.4,0.6,0.9,66.7,7.7,54.0,3.7,26.0,0.4,3.0,0.7,5.0,0.4,3.0,0
2015-16,playoffs,-,16,5,240.0,382.1,12.3,2.0,5.2,37.3,1.0,1.0,90.9,4.9,39.5,3.9,31.8,0.9,7.0,1.0,7.8,0.5,4.3,0
2015-16,playoffs,-,1,4,240.0,420.8,10.4,2.8,7.0,40.0,1.6,1.6,100,7.4,71.2,1.6,15.4,0.0,0.0,0.6,5.8,0.8,7.7,0
2015-16,playoffs,-,0,4,240.0,347.8,13.8,3.0,8.0,37.5,1.3,2.0,62.5,7.3,52.7,2.5,18.2,0.8,5.5,0.3,1.8,1.3,9.1,0
2015-16,playoffs,-,15,9,241.0,435.4,15.4,1.6,4.6,34.2,1.6,2.2,73.1,4.8,31.1,6.4,41.4,1.8,11.9,0.9,5.7,1.1,7.0,0
