SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PULL_UP_PTS,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
2016-17,Pre+Season,ATL,Atlanta Hawks,7,5,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,Barcelona FC Barcelona Lassa,Barcelona FC Barcelona Lassa,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,BOS,Boston Celtics,7,5,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,BKN,Brooklyn Nets,6,1,5,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,Buenos Aires San Lorenzo,Buenos Aires San Lorenzo,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,CHA,Charlotte Hornets,7,3,4,243.6,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,CHI,Chicago Bulls,7,3,4,243.6,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,CLE,Cleveland Cavaliers,6,2,4,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,DAL,Dallas Mavericks,7,2,5,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,DEN,Denver Nuggets,8,4,4,243.1,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,DET,Detroit Pistons,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,GSW,Golden State Warriors,7,6,1,243.6,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,HOU,Houston Rockets,7,5,2,247.1,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,IND,Indiana Pacers,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,LAC,LA Clippers,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,LAL,Los Angeles Lakers,8,2,6,243.1,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,Madrid Real Madrid,Madrid Real Madrid,1,1,0,265.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,MEM,Memphis Grizzlies,6,4,2,248.3,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,MIA,Miami Heat,8,4,4,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,MIL,Milwaukee Bucks,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,MIN,Minnesota Timberwolves,7,5,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,NOP,New Orleans Pelicans,6,1,5,244.2,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,NYK,New York Knicks,6,4,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,OKC,Oklahoma City Thunder,6,3,3,244.2,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,ORL,Orlando Magic,7,2,5,243.6,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,PHI,Philadelphia 76ers,7,2,5,247.1,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,PHX,Phoenix Suns,6,4,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,POR,Portland Trail Blazers,7,4,3,243.6,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,SAC,Sacramento Kings,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,SAS,San Antonio Spurs,6,4,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,Shanghai Shanghai Sharks,Shanghai Shanghai Sharks,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,TOR,Toronto Raptors,7,4,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,UTA,Utah Jazz,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,Pre+Season,WAS,Washington Wizards,7,4,3,247.1,0.0,0.0,0.0,-,-,-,-,-
2016-17,Playoffs,ATL,Atlanta Hawks,6,2,4,240.0,24.8,10.3,22.7,45.6,4.2,9.7,43.1,54.8
2016-17,Playoffs,BOS,Boston Celtics,18,9,9,241.4,15.6,6.6,18.6,35.2,2.5,8.1,30.8,41.9
2016-17,Playoffs,CHI,Chicago Bulls,6,2,4,240.0,14.3,6.7,20.3,32.8,1.0,6.0,16.7,35.2
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,13,5,240.0,22.6,9.2,23.4,39.2,4.2,11.4,37.1,48.2
2016-17,Playoffs,GSW,Golden State Warriors,17,16,1,240.0,24.4,10.3,23.9,43.0,3.8,10.2,37.0,50.9
2016-17,Playoffs,HOU,Houston Rockets,11,6,5,242.3,20.7,7.8,24.9,31.4,5.1,17.6,28.9,41.6
2016-17,Playoffs,IND,Indiana Pacers,4,0,4,240.0,26.8,11.3,24.0,46.9,4.3,9.3,45.9,55.7
2016-17,Playoffs,LAC,LA Clippers,7,3,4,240.0,22.4,10.1,27.6,36.8,2.1,9.0,23.8,40.7
2016-17,Playoffs,MEM,Memphis Grizzlies,6,2,4,244.2,17.5,7.5,19.2,39.1,2.5,6.5,38.5,45.7
2016-17,Playoffs,MIL,Milwaukee Bucks,6,2,4,240.0,15.0,7.0,19.0,36.8,1.0,3.0,33.3,39.5
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,1,4,240.0,21.2,9.4,24.0,39.2,2.4,7.6,31.6,44.2
2016-17,Playoffs,POR,Portland Trail Blazers,4,0,4,240.0,24.8,10.5,27.3,38.5,3.8,11.8,31.9,45.4
2016-17,Playoffs,SAS,San Antonio Spurs,16,8,8,243.1,21.1,9.8,23.5,41.8,1.5,5.3,28.6,44.9
2016-17,Playoffs,TOR,Toronto Raptors,10,4,6,240.0,15.7,7.2,17.9,40.2,1.3,5.0,26.0,43.9
2016-17,Playoffs,UTA,Utah Jazz,11,4,7,240.0,17.3,7.5,23.6,31.9,2.2,8.8,24.7,36.5
2016-17,Playoffs,WAS,Washington Wizards,13,7,6,241.9,22.9,10.5,23.9,43.7,2.0,6.4,31.3,47.9
2016-17,All+Star,East Celebrities East,East Celebrities East,1,1,0,200.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,All+Star,East NBA All Stars East,East NBA All Stars East,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,All+Star,USA USA,USA USA,1,0,1,200.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,All+Star,West Celebrities West,West Celebrities West,1,0,1,200.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,All+Star,West NBA All Stars West,West NBA All Stars West,1,1,0,240.0,0.0,0.0,0.0,-,-,-,-,-
2016-17,All+Star,World World,World World,1,1,0,200.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,ATL,Atlanta Hawks,5,2,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,BOS,Boston Celtics,4,4,0,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,Brisbane Bullets,Brisbane Bullets,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,BKN,Brooklyn Nets,4,3,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,CHA,Charlotte Hornets,5,2,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,CHI,Chicago Bulls,6,3,3,236.2,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,CLE,Cleveland Cavaliers,5,1,4,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,DAL,Dallas Mavericks,6,4,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,DEN,Denver Nuggets,5,3,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,DET,Detroit Pistons,5,2,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,GSW,Golden State Warriors,4,2,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,Guangzhou Long-Lions,Guangzhou Long-Lions,1,0,1,220.8,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,3,0,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,HOU,Houston Rockets,5,4,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,IND,Indiana Pacers,4,3,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,LAC,LA Clippers,5,2,3,239.9,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,LAL,Los Angeles Lakers,6,2,4,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,Melbourne United,Melbourne United,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,MEM,Memphis Grizzlies,5,3,2,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,MIA,Miami Heat,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,MIL,Milwaukee Bucks,4,1,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,MIN,Minnesota Timberwolves,3,2,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,NOP,New Orleans Pelicans,4,1,3,234.4,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,NYK,New York Knicks,5,0,5,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,OKC,Oklahoma City Thunder,4,3,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,ORL,Orlando Magic,6,3,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,PHI,Philadelphia 76ers,5,2,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,PHX,Phoenix Suns,5,2,3,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,POR,Portland Trail Blazers,6,5,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,SAC,Sacramento Kings,6,1,5,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,SAS,San Antonio Spurs,5,3,2,235.2,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,Shanghai Sharks,Shanghai Sharks,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,SAC,Sacramento Kings,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,TOR,Toronto Raptors,5,3,2,239.9,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,UTA,Utah Jazz,5,5,0,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,Pre+Season,WAS,Washington Wizards,5,4,1,236.2,0.0,0.0,0.0,-,-,-,-,-
2017-18,All+Star,Team LeBron,Team LeBron,1,1,0,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,All+Star,Team Stephen,Team Stephen,1,0,1,240.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,All+Star,USA USA,USA USA,1,0,1,200.0,0.0,0.0,0.0,-,-,-,-,-
2017-18,All+Star,World World,World World,1,1,0,200.0,0.0,0.0,0.0,-,-,-,-,-
