SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,REB,REB_CONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ
2018-19,Regular+Season,ATL,Atlanta Hawks,82,29,53,231.9,46.1,14.6,31.8,85.3,54.0,5.7,57.9
2018-19,Regular+Season,BOS,Boston Celtics,82,49,33,236.7,44.5,12.8,28.6,81.3,54.8,5.7,58.9
2018-19,Regular+Season,BKN,Brooklyn Nets,82,42,40,233.7,46.6,13.9,29.9,88.9,52.4,6.6,56.6
2018-19,Regular+Season,CHA,Charlotte Hornets,82,39,43,232.5,43.8,14.3,32.6,82.5,53.1,6.3,57.4
2018-19,Regular+Season,CHI,Chicago Bulls,81,22,59,232.5,43.0,12.6,29.3,77.6,55.5,5.4,59.6
2018-19,Regular+Season,CLE,Cleveland Cavaliers,82,19,63,227.0,42.6,13.0,30.7,77.9,54.6,5.6,58.9
2018-19,Regular+Season,DAL,Dallas Mavericks,82,33,49,225.0,45.3,13.4,29.6,80.6,56.3,5.6,60.5
2018-19,Regular+Season,DEN,Denver Nuggets,82,54,28,228.1,46.4,15.1,32.6,84.2,55.1,5.5,58.9
2018-19,Regular+Season,DET,Detroit Pistons,82,41,41,225.0,45.0,14.8,32.8,78.9,57.0,5.0,60.9
2018-19,Regular+Season,GSW,Golden State Warriors,82,57,25,233.6,46.0,14.0,30.3,80.7,57.1,6.0,61.6
2018-19,Regular+Season,HOU,Houston Rockets,82,53,29,231.0,42.0,13.2,31.5,78.3,53.6,5.5,57.7
2018-19,Regular+Season,IND,Indiana Pacers,82,48,34,227.1,43.0,13.0,30.2,79.8,53.9,5.9,58.2
2018-19,Regular+Season,LAC,LA Clippers,82,48,34,231.6,45.5,13.3,29.1,82.1,55.4,6.4,60.2
2018-19,Regular+Season,LAL,Los Angeles Lakers,82,37,45,231.9,46.6,14.2,30.5,83.3,55.9,6.2,60.4
2018-19,Regular+Season,MEM,Memphis Grizzlies,82,33,49,233.0,41.8,13.3,31.9,75.9,55.0,5.2,59.1
2018-19,Regular+Season,MIA,Miami Heat,82,39,43,232.9,46.3,14.5,31.3,84.9,54.6,6.8,59.4
2018-19,Regular+Season,MIL,Milwaukee Bucks,82,60,22,235.3,49.7,14.1,28.4,85.7,58.0,6.0,62.4
2018-19,Regular+Season,MIN,Minnesota Timberwolves,82,36,46,232.4,44.8,14.5,32.5,82.7,54.1,5.9,58.3
2018-19,Regular+Season,NOP,New Orleans Pelicans,82,33,49,228.5,47.3,15.4,32.7,82.4,57.4,5.9,61.8
2018-19,Regular+Season,NYK,New York Knicks,81,17,64,231.4,44.8,13.7,30.6,81.4,55.0,5.7,59.1
2018-19,Regular+Season,OKC,Oklahoma City Thunder,81,48,33,231.7,48.1,13.7,28.5,86.9,55.4,5.7,59.3
2018-19,Regular+Season,ORL,Orlando Magic,80,40,40,229.3,45.4,14.8,32.5,77.5,58.6,5.2,62.8
2018-19,Regular+Season,PHI,Philadelphia 76ers,81,51,30,229.7,47.8,14.9,31.1,84.4,56.6,6.0,60.9
2018-19,Regular+Season,PHX,Phoenix Suns,82,19,63,229.2,40.4,12.4,30.7,74.6,54.1,5.2,58.1
2018-19,Regular+Season,POR,Portland Trail Blazers,82,53,29,232.0,48.0,15.2,31.7,85.6,56.1,6.1,60.4
2018-19,Regular+Season,SAC,Sacramento Kings,82,39,43,229.5,45.4,14.3,31.5,81.2,56.0,5.9,60.3
2018-19,Regular+Season,SAS,San Antonio Spurs,82,48,34,231.7,44.7,13.0,29.1,77.6,57.6,5.2,61.8
2018-19,Regular+Season,TOR,Toronto Raptors,82,58,24,233.6,45.2,14.6,32.4,80.5,56.1,5.1,60.0
2018-19,Regular+Season,UTA,Utah Jazz,81,50,31,227.1,46.3,13.2,28.6,80.5,57.5,5.9,62.0
