SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
2015-16,regular-season,-,48,34,241.8,102.8,19.4,43.9,32.5,38.7,13.1,36.5,18.7,62.2,5.5,44.7,6.0,53.6,51.6,0
2015-16,regular-season,-,47,34,241.2,105.6,19.9,43.1,27.3,35.4,16.3,35.9,20.7,58.4,4.5,38.1,6.5,53.6,48.8,0
2015-16,regular-season,-,21,61,240.9,98.6,16.0,44.1,24.3,38.5,15.7,36.9,19.7,57.9,9.5,46.8,10.5,52.5,49.2,0
2015-16,regular-season,-,48,34,242.1,103.4,18.6,43.3,31.3,38.7,17.9,35.9,15.8,60.0,6.1,43.6,5.9,53.7,50.2,0
2015-16,regular-season,-,42,40,242.7,101.6,20.2,43.2,29.4,40.8,16.8,36.1,19.3,56.3,7.2,39.7,6.5,51.4,48.7,0
2015-16,regular-season,-,57,25,242.1,104.3,17.6,44.2,29.6,39.1,18.6,36.5,18.8,60.3,7.0,46.5,5.5,57.7,52.4,0
2015-16,regular-season,-,42,40,244.0,102.3,18.8,46.3,31.8,38.3,17.1,36.9,16.7,62.7,7.2,45.9,6.2,50.5,50.2,0
2015-16,regular-season,-,33,49,241.8,101.9,16.5,39.0,24.2,36.7,15.8,36.1,24.1,59.0,6.1,42.9,7.8,51.8,48.9,0
2015-16,regular-season,-,44,38,242.4,102.0,19.6,44.2,24.1,36.5,19.9,37.7,21.9,56.4,7.4,41.7,4.8,48.8,49.1,0
2015-16,regular-season,-,73,9,242.4,114.9,15.6,48.6,34.7,42.1,21.6,42.6,21.9,60.3,5.7,44.3,7.1,50.8,56.3,0
2015-16,regular-season,-,41,41,241.8,106.5,19.1,43.4,26.3,36.8,16.0,35.1,21.4,61.0,4.7,42.9,6.1,57.7,51.6,0
