SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2015-16,regular-season,-,48,34,241.8,90725.7,17.20,9.00,8.20,4.28,4.63,3.94,0
2015-16,regular-season,-,47,34,241.2,88626.3,16.80,8.70,8.10,4.18,4.56,3.84,0
2015-16,regular-season,-,21,61,240.9,90029.8,17.10,9.10,7.90,4.26,4.53,3.98,0
2015-16,regular-season,-,48,34,242.1,91570.2,17.30,9.50,7.80,4.31,4.68,3.93,0
2015-16,regular-season,-,42,40,242.7,90999.9,17.20,9.20,8.00,4.27,4.59,3.95,0
2015-16,regular-season,-,57,25,242.1,87660.2,16.60,8.90,7.70,4.13,4.32,3.92,0
2015-16,regular-season,-,42,40,244.0,89437.8,16.90,9.20,7.70,4.18,4.47,3.88,0
2015-16,regular-season,-,33,49,241.8,88698.5,16.80,9.10,7.70,4.18,4.52,3.83,0
2015-16,regular-season,-,44,38,242.4,88896.5,16.80,9.10,7.80,4.18,4.47,3.88,0
2015-16,regular-season,-,73,9,242.4,90298.4,17.10,9.00,8.10,4.24,4.75,3.79,0
2015-16,regular-season,-,41,41,241.8,88331.6,16.70,8.60,8.10,4.16,4.44,3.90,0
2015-16,regular-season,-,45,37,242.4,88756.3,16.80,8.90,7.90,4.17,4.46,3.88,0
2015-16,regular-season,-,53,29,241.8,86969.2,16.50,8.70,7.80,4.10,4.33,3.87,0
2015-16,regular-season,-,17,65,240.6,88542.7,16.80,9.10,7.60,4.19,4.43,3.94,0
2015-16,regular-season,-,42,40,241.8,87182.1,16.50,8.90,7.60,4.11,4.32,3.88,0
2015-16,regular-season,-,48,34,241.8,88622.4,16.80,9.20,7.60,4.18,4.44,3.90,0
2015-16,regular-season,-,33,49,241.8,89691.2,17.00,8.80,8.20,4.22,4.47,3.98,0
2015-16,regular-season,-,29,53,242.4,88851.4,16.80,8.90,8.00,4.18,4.42,3.93,0
2015-16,regular-season,-,30,52,241.2,90982.5,17.20,9.20,8.00,4.30,4.73,3.90,0
2015-16,regular-season,-,32,50,241.5,88821.0,16.80,9.20,7.60,4.19,4.47,3.89,0
2015-16,regular-season,-,55,27,241.8,88322.9,16.70,8.90,7.80,4.16,4.52,3.81,0
2015-16,regular-season,-,35,46,242.5,93894.5,17.80,9.50,8.30,4.41,4.77,4.05,0
2015-16,regular-season,-,10,72,241.5,92801.6,17.60,9.50,8.10,4.38,4.66,4.09,0
2015-16,regular-season,-,23,59,240.3,89232.3,16.90,9.00,7.90,4.23,4.50,3.96,0
2015-16,regular-season,-,44,38,241.5,91007.2,17.20,9.50,7.80,4.29,4.65,3.93,0
2015-16,regular-season,-,33,48,241.5,89885.5,17.00,9.00,8.10,4.24,4.57,3.93,0
2015-16,regular-season,-,67,15,240.3,90982.5,17.20,9.50,7.70,4.31,4.61,3.99,0
2015-16,regular-season,-,55,26,240.9,88527.6,16.80,9.30,7.50,4.18,4.40,3.94,0
2015-16,regular-season,-,40,42,243.4,91418.9,17.30,9.60,7.70,4.28,4.55,3.98,0
2015-16,regular-season,-,41,41,240.9,90059.9,17.10,8.90,8.20,4.25,4.64,3.90,0
2015-16,playoffs,-,4,6,242.5,89377.5,16.90,8.90,8.00,4.20,4.59,3.83,0
2015-16,playoffs,-,2,4,244.2,89875.0,17.00,9.20,7.90,4.19,4.42,3.95,0
2015-16,playoffs,-,3,4,240.0,89808.1,17.00,9.30,7.70,4.27,4.66,3.87,0
2015-16,playoffs,-,16,5,240.0,85031.2,16.10,8.50,7.60,4.03,4.11,3.95,0
2015-16,playoffs,-,1,4,240.0,84624.2,16.00,8.70,7.30,4.02,4.18,3.85,0
2015-16,playoffs,-,0,4,240.0,82860.3,15.70,8.30,7.40,3.94,4.43,3.48,0
2015-16,playoffs,-,15,9,241.0,89299.9,16.90,9.10,7.80,4.22,4.71,3.76,0
2015-16,playoffs,-,1,4,240.0,88452.8,16.80,8.80,7.90,4.20,4.48,3.91,0
2015-16,playoffs,-,3,4,240.0,86075.0,16.30,8.30,8.00,4.08,4.42,3.78,0
2015-16,playoffs,-,2,4,240.0,87247.2,16.50,8.50,8.00,4.14,4.22,4.06,0
2015-16,playoffs,-,0,4,240.0,87265.3,16.50,8.80,7.80,4.14,4.39,3.89,0
2015-16,playoffs,-,7,7,245.4,88859.1,16.80,8.90,7.90,4.13,4.44,3.82,0
2015-16,playoffs,-,11,7,240.0,86891.6,16.50,8.60,7.80,4.12,4.39,3.86,0
2015-16,playoffs,-,5,6,242.3,92631.6,17.50,9.70,7.90,4.35,4.76,3.94,0
2015-16,playoffs,-,6,4,240.0,88952.8,16.80,9.30,7.50,4.22,4.55,3.87,0
2015-16,playoffs,-,10,10,243.8,87450.2,16.60,9.10,7.40,4.08,4.36,3.79,0
2016-17,regular-season,-,43,39,242.4,90044.3,17.10,9.00,8.00,4.24,4.58,3.91,0
2016-17,regular-season,-,53,29,240.9,88655.9,16.80,8.90,7.90,4.19,4.48,3.91,0
2016-17,regular-season,-,20,61,240.9,92020.0,17.40,9.30,8.10,4.35,4.74,3.98,0
2016-17,regular-season,-,36,46,241.8,92157.4,17.50,9.60,7.90,4.34,4.70,3.97,0
2016-17,regular-season,-,41,41,241.2,89810.2,17.00,9.20,7.80,4.24,4.51,3.96,0
2016-17,regular-season,-,51,31,242.4,86900.9,16.50,8.70,7.80,4.08,4.27,3.89,0
2016-17,regular-season,-,32,49,241.2,88523.1,16.80,9.20,7.60,4.18,4.40,3.94,0
2016-17,regular-season,-,39,42,240.9,88637.8,16.80,9.10,7.60,4.19,4.57,3.81,0
2016-17,regular-season,-,37,45,241.5,90922.7,17.20,9.20,8.00,4.29,4.62,3.95,0
2016-17,regular-season,-,67,15,241.2,89925.0,17.00,8.90,8.10,4.24,4.70,3.83,0
2016-17,regular-season,-,55,27,241.2,87283.7,16.50,8.50,8.00,4.12,4.44,3.83,0
2016-17,regular-season,-,42,39,242.2,88170.8,16.70,8.80,7.90,4.15,4.40,3.89,0
2016-17,regular-season,-,51,31,240.9,86282.4,16.30,8.70,7.60,4.08,4.28,3.87,0
2016-17,regular-season,-,26,56,240.3,90744.4,17.20,9.30,7.90,4.30,4.66,3.95,0
2016-17,regular-season,-,43,39,242.7,87364.1,16.50,9.00,7.50,4.10,4.29,3.89,0
2016-17,regular-season,-,41,41,241.2,90488.6,17.10,9.40,7.70,4.27,4.56,3.97,0
2016-17,regular-season,-,42,40,241.2,88579.5,16.80,8.70,8.00,4.19,4.45,3.94,0
2016-17,regular-season,-,31,51,241.5,89395.7,16.90,9.10,7.90,4.21,4.42,4.00,0
2016-17,regular-season,-,34,48,242.7,90246.7,17.10,9.00,8.10,4.23,4.62,3.88,0
2016-17,regular-season,-,31,51,242.1,90613.6,17.20,9.20,7.90,4.26,4.55,3.96,0
2016-17,regular-season,-,47,35,241.5,89865.7,17.00,8.90,8.20,4.24,4.60,3.92,0
2016-17,regular-season,-,29,53,241.5,89596.1,17.00,9.00,8.00,4.23,4.54,3.94,0
2016-17,regular-season,-,28,54,241.8,94652.4,17.90,9.90,8.00,4.46,4.90,4.01,0
2016-17,regular-season,-,23,57,241.9,90042.5,17.10,9.00,8.10,4.25,4.60,3.92,0
2016-17,regular-season,-,41,41,243.1,91287.8,17.30,9.50,7.80,4.28,4.64,3.91,0
2016-17,regular-season,-,32,50,242.4,89312.1,16.90,9.10,7.80,4.20,4.42,3.96,0
2016-17,regular-season,-,61,20,241.5,91907.3,17.40,9.60,7.80,4.34,4.68,3.98,0
2016-17,regular-season,-,50,31,241.2,89311.5,16.90,9.10,7.80,4.22,4.47,3.96,0
2016-17,regular-season,-,51,31,240.9,89162.7,16.90,9.30,7.60,4.22,4.48,3.94,0
2016-17,regular-season,-,49,33,242.1,88187.4,16.70,8.70,8.00,4.15,4.42,3.90,0
2016-17,playoffs,-,2,4,240.0,88569.8,16.80,9.10,7.70,4.20,4.56,3.84,0
2016-17,playoffs,-,9,9,241.4,86626.4,16.40,8.80,7.60,4.08,4.41,3.77,0
2016-17,playoffs,-,2,4,240.0,87465.2,16.60,8.70,7.90,4.15,4.39,3.90,0
2016-17,playoffs,-,13,5,240.0,85315.1,16.20,8.50,7.70,4.05,4.17,3.92,0
